Model,Trial,CAN_ID,t_det_us,t_tx_up_us,t_llm_us,t_comp_us,t_ota_us,t_total_us,t_total_ms
Gemini-2.0-Flash,1,0x400,417.9,6015.0,1265774.1,1324.5,98936.2,1372467.7,1372.47
Gemini-2.0-Flash,2,0x7DF,393.2,5037.0,556442.8,1910.8,69368.2,633152.0,633.15
Gemini-2.0-Flash,3,0x300,210.8,5707.7,1154869.7,2376.6,76632.2,1239797.0,1239.8
Gemini-2.0-Flash,4,0x100,465.7,5909.7,708451.7,2851.6,55611.3,773290.0,773.29
Gemini-2.0-Flash,5,0x158,394.5,4909.4,985486.5,2276.3,99476.9,1092543.6,1092.54
Gemini-2.0-Flash,6,0x7DF,291.1,4040.6,1648789.3,1927.8,103143.0,1758191.9,1758.19
Gemini-2.0-Flash,7,0x158,282.6,5468.9,1043778.3,1992.1,85481.7,1137003.5,1137.0
Gemini-2.0-Flash,8,0x500,162.9,3557.1,761302.1,1876.2,86554.7,853453.0,853.45
Gemini-2.0-Flash,9,0x280,409.6,4128.0,1100626.5,2106.6,71204.7,1178475.3,1178.48
Gemini-2.0-Flash,10,0x3E8,364.7,4791.1,1095966.2,2069.4,84510.8,1187702.3,1187.7
Gemini-2.0-Flash,11,0x6B0,313.3,6539.1,556442.8,1816.3,88189.3,653300.8,653.3
Gemini-2.0-Flash,12,0x6B0,343.7,4293.1,624300.6,1890.8,82868.0,713696.2,713.7
Gemini-2.0-Flash,13,0x300,212.1,3591.2,1380171.7,2299.9,100112.7,1486387.7,1486.39
Gemini-2.0-Flash,14,0x200,495.0,5347.7,690298.2,1580.3,61988.5,759709.6,759.71
Gemini-2.0-Flash,15,0x7DF,387.7,4405.7,963933.2,2450.5,97916.4,1069093.6,1069.09
Gemini-2.0-Flash,16,0x200,165.0,4324.6,556442.8,2108.9,72413.2,635454.5,635.45
Gemini-2.0-Flash,17,0x3E8,322.3,4838.9,1185149.5,1717.7,76744.8,1268773.3,1268.77
Gemini-2.0-Flash,18,0x7DF,248.1,7074.0,1022456.8,2761.3,87576.9,1120117.1,1120.12
Gemini-2.0-Flash,19,0x400,373.3,5983.2,1200236.6,2949.2,80115.8,1289658.1,1289.66
Gemini-2.0-Flash,20,0x3E8,310.3,8196.7,1269338.1,2127.5,105231.3,1385203.9,1385.2
Gemini-2.0-Flash,21,0x7DF,217.7,6641.2,968862.9,1857.4,71416.6,1048995.9,1049.0
Gemini-2.0-Flash,22,0x300,219.6,5253.8,1152211.1,2095.1,72855.9,1232635.5,1232.64
Gemini-2.0-Flash,23,0x100,460.1,4361.5,1441452.3,2118.7,43295.1,1491687.7,1491.69
Gemini-2.0-Flash,24,0x6B0,318.3,6633.7,1550372.4,1927.4,61837.1,1621089.0,1621.09
Gemini-2.0-Flash,25,0x6B0,352.4,3101.7,1807020.4,2077.3,71385.3,1883937.0,1883.94
Gemini-2.0-Flash,26,0x300,323.3,4984.5,1790338.3,1491.8,104247.1,1901385.0,1901.39
Gemini-2.0-Flash,27,0x158,379.3,6607.8,1251441.3,2175.1,83449.7,1344053.3,1344.05
Gemini-2.0-Flash,28,0x300,279.7,5923.6,1069074.0,1781.3,75181.8,1152240.4,1152.24
Gemini-2.0-Flash,29,0x158,417.7,4540.0,968439.9,1777.4,72482.4,1047657.4,1047.66
Gemini-2.0-Flash,30,0x400,266.7,6352.1,857782.0,2007.7,68989.1,935397.5,935.4
