Model,Trial,FrameType,CAN_ID,DLC,Data_Hex,Data_Dec
DeepSeek-V3,1,TRIGGER,0x158,3,8C 7D 72,"[140, 125, 114]"
DeepSeek-V3,1,HISTORY_1,0x158,4,34 2C D8 10,"[52, 44, 216, 16]"
DeepSeek-V3,1,HISTORY_2,0x158,3,2F 6F 77,"[47, 111, 119]"
DeepSeek-V3,1,HISTORY_3,0x158,7,0D 65 D6 70 E5 8E 03,"[13, 101, 214, 112, 229, 142, 3]"
DeepSeek-V3,1,HISTORY_4,0x158,4,D8 AE 8E 4F,"[216, 174, 142, 79]"
DeepSeek-V3,1,HISTORY_5,0x158,4,AC 34 2F C2,"[172, 52, 47, 194]"
DeepSeek-V3,2,TRIGGER,0x158,5,B0 87 16 EB 3F,"[176, 135, 22, 235, 63]"
DeepSeek-V3,2,HISTORY_1,0x158,6,28 96 B9 62 23 17,"[40, 150, 185, 98, 35, 23]"
DeepSeek-V3,2,HISTORY_2,0x158,8,74 94 28 77 33 C2 8E E8,"[116, 148, 40, 119, 51, 194, 142, 232]"
DeepSeek-V3,2,HISTORY_3,0x158,8,BA 53 BD B5 6B 88 24 57,"[186, 83, 189, 181, 107, 136, 36, 87]"
DeepSeek-V3,2,HISTORY_4,0x158,7,7D 53 EC C2 8A 70 A6,"[125, 83, 236, 194, 138, 112, 166]"
DeepSeek-V3,2,HISTORY_5,0x158,3,75 10 A1,"[117, 16, 161]"
DeepSeek-V3,3,TRIGGER,0x400,5,21 6C A1 6C FF,"[33, 108, 161, 108, 255]"
DeepSeek-V3,3,HISTORY_1,0x400,6,EA 49 87 47 7E 86,"[234, 73, 135, 71, 126, 134]"
DeepSeek-V3,3,HISTORY_2,0x400,8,DB CC B9 70 46 FC 2E 18,"[219, 204, 185, 112, 70, 252, 46, 24]"
DeepSeek-V3,3,HISTORY_3,0x400,3,4E 51 D8,"[78, 81, 216]"
DeepSeek-V3,3,HISTORY_4,0x400,7,20 C5 C3 EF 80 05 3A,"[32, 197, 195, 239, 128, 5, 58]"
DeepSeek-V3,3,HISTORY_5,0x400,8,88 AE 39 96 DE 50 E8 01,"[136, 174, 57, 150, 222, 80, 232, 1]"
DeepSeek-V3,4,TRIGGER,0x300,7,5B 36 98 65 4E BF 52,"[91, 54, 152, 101, 78, 191, 82]"
DeepSeek-V3,4,HISTORY_1,0x300,7,00 A5 FA 09 39 B9 9D,"[0, 165, 250, 9, 57, 185, 157]"
DeepSeek-V3,4,HISTORY_2,0x300,4,1D 7B 28 2B,"[29, 123, 40, 43]"
DeepSeek-V3,4,HISTORY_3,0x300,8,F8 23 40 41 F3 54 87 D8,"[248, 35, 64, 65, 243, 84, 135, 216]"
DeepSeek-V3,4,HISTORY_4,0x300,4,66 9F CC BF,"[102, 159, 204, 191]"
DeepSeek-V3,4,HISTORY_5,0x300,6,E7 3D 7E 73 20 AD,"[231, 61, 126, 115, 32, 173]"
DeepSeek-V3,5,TRIGGER,0x100,7,75 70 03 24 1E 75 22,"[117, 112, 3, 36, 30, 117, 34]"
DeepSeek-V3,5,HISTORY_1,0x100,3,A9 24 79,"[169, 36, 121]"
DeepSeek-V3,5,HISTORY_2,0x100,5,F8 6D 43 F2 7C,"[248, 109, 67, 242, 124]"
DeepSeek-V3,5,HISTORY_3,0x100,6,D0 61 30 31 DC B5,"[208, 97, 48, 49, 220, 181]"
DeepSeek-V3,5,HISTORY_4,0x100,6,D2 EF 1B 32 1F CE,"[210, 239, 27, 50, 31, 206]"
DeepSeek-V3,5,HISTORY_5,0x100,8,AD 37 7F 62 61 E5 47 D8,"[173, 55, 127, 98, 97, 229, 71, 216]"
DeepSeek-V3,6,TRIGGER,0x200,5,EC 7F 26 E2 32,"[236, 127, 38, 226, 50]"
DeepSeek-V3,6,HISTORY_1,0x200,3,07 2F 79,"[7, 47, 121]"
DeepSeek-V3,6,HISTORY_2,0x200,4,D0 F8 F6 6D,"[208, 248, 246, 109]"
DeepSeek-V3,6,HISTORY_3,0x200,6,1E 54 C2 01 C7 87,"[30, 84, 194, 1, 199, 135]"
DeepSeek-V3,6,HISTORY_4,0x200,6,92 D8 F9 4F 61 97,"[146, 216, 249, 79, 97, 151]"
DeepSeek-V3,6,HISTORY_5,0x200,4,1D 1F A0 1D,"[29, 31, 160, 29]"
DeepSeek-V3,7,TRIGGER,0x100,7,F4 50 1D 29 5F 23 22,"[244, 80, 29, 41, 95, 35, 34]"
DeepSeek-V3,7,HISTORY_1,0x100,8,78 CE 3D 7E 14 29 D6 A1,"[120, 206, 61, 126, 20, 41, 214, 161]"
DeepSeek-V3,7,HISTORY_2,0x100,5,68 A0 7A 87 CA,"[104, 160, 122, 135, 202]"
DeepSeek-V3,7,HISTORY_3,0x100,4,99 EA A1 25,"[153, 234, 161, 37]"
DeepSeek-V3,7,HISTORY_4,0x100,3,EA 33 25,"[234, 51, 37]"
DeepSeek-V3,7,HISTORY_5,0x100,7,6D 87 43 B2 23 7D BD,"[109, 135, 67, 178, 35, 125, 189]"
DeepSeek-V3,8,TRIGGER,0x300,4,E0 9A 04 99,"[224, 154, 4, 153]"
DeepSeek-V3,8,HISTORY_1,0x300,8,35 44 87 3B 36 4F 8B 90,"[53, 68, 135, 59, 54, 79, 139, 144]"
DeepSeek-V3,8,HISTORY_2,0x300,7,6B AF 68 87 FA 80 1A,"[107, 175, 104, 135, 250, 128, 26]"
DeepSeek-V3,8,HISTORY_3,0x300,3,D8 8D 16,"[216, 141, 22]"
DeepSeek-V3,8,HISTORY_4,0x300,3,AA 42 86,"[170, 66, 134]"
DeepSeek-V3,8,HISTORY_5,0x300,4,E2 DA 04 39,"[226, 218, 4, 57]"
DeepSeek-V3,9,TRIGGER,0x158,8,4C 12 BD 4B DC 41 15 9D,"[76, 18, 189, 75, 220, 65, 21, 157]"
DeepSeek-V3,9,HISTORY_1,0x158,5,14 B7 6B 7F 34,"[20, 183, 107, 127, 52]"
DeepSeek-V3,9,HISTORY_2,0x158,5,D0 4F 79 53 5A,"[208, 79, 121, 83, 90]"
DeepSeek-V3,9,HISTORY_3,0x158,6,0C 5B AA D2 7F 88,"[12, 91, 170, 210, 127, 136]"
DeepSeek-V3,9,HISTORY_4,0x158,4,37 C3 13 F0,"[55, 195, 19, 240]"
DeepSeek-V3,9,HISTORY_5,0x158,4,66 EB B3 9C,"[102, 235, 179, 156]"
DeepSeek-V3,10,TRIGGER,0x280,4,0C 62 CC A8,"[12, 98, 204, 168]"
DeepSeek-V3,10,HISTORY_1,0x280,5,23 8E B3 CC A9,"[35, 142, 179, 204, 169]"
DeepSeek-V3,10,HISTORY_2,0x280,3,3B 85 5B,"[59, 133, 91]"
DeepSeek-V3,10,HISTORY_3,0x280,7,87 13 37 DE B0 A0 DF,"[135, 19, 55, 222, 176, 160, 223]"
DeepSeek-V3,10,HISTORY_4,0x280,7,3B C5 61 82 16 DF 00,"[59, 197, 97, 130, 22, 223, 0]"
DeepSeek-V3,10,HISTORY_5,0x280,7,64 BA DC 23 A9 A0 3F,"[100, 186, 220, 35, 169, 160, 63]"
DeepSeek-V3,11,TRIGGER,0x300,7,9E D1 A7 CE 97 41 62,"[158, 209, 167, 206, 151, 65, 98]"
DeepSeek-V3,11,HISTORY_1,0x300,6,C2 59 9A CF 00 9B,"[194, 89, 154, 207, 0, 155]"
DeepSeek-V3,11,HISTORY_2,0x300,5,6B DC A4 EE E2,"[107, 220, 164, 238, 226]"
DeepSeek-V3,11,HISTORY_3,0x300,6,6D F2 56 2B 91 AB,"[109, 242, 86, 43, 145, 171]"
DeepSeek-V3,11,HISTORY_4,0x300,3,78 9E 73,"[120, 158, 115]"
DeepSeek-V3,11,HISTORY_5,0x300,4,4B 0C 17 7D,"[75, 12, 23, 125]"
DeepSeek-V3,12,TRIGGER,0x500,7,25 E9 D4 63 C4 FD CC,"[37, 233, 212, 99, 196, 253, 204]"
DeepSeek-V3,12,HISTORY_1,0x500,4,4B 02 36 D9,"[75, 2, 54, 217]"
DeepSeek-V3,12,HISTORY_2,0x500,4,5A ED 19 7F,"[90, 237, 25, 127]"
DeepSeek-V3,12,HISTORY_3,0x500,3,E9 44 ED,"[233, 68, 237]"
DeepSeek-V3,12,HISTORY_4,0x500,8,A2 E2 DA E4 51 F3 E6 84,"[162, 226, 218, 228, 81, 243, 230, 132]"
DeepSeek-V3,12,HISTORY_5,0x500,4,8D F8 7A 8C,"[141, 248, 122, 140]"
