Model,Trial,CAN_ID,t_det_us,t_tx_up_us,t_llm_us,t_comp_us,t_ota_us,t_total_us,t_total_ms,Success
DeepSeek-V3,1,0x400,306.1,5054.1,2342405.6,2074.2,64336.1,2414176.1,2414.18,True
DeepSeek-V3,2,0x200,393.8,5933.6,2671507.0,1757.9,81806.9,2761399.2,2761.4,True
DeepSeek-V3,3,0x158,527.4,3396.9,3437037.3,2130.4,113963.8,3557055.9,3557.06,True
DeepSeek-V3,4,0x100,331.5,6082.0,3032852.5,2714.0,91053.2,3133033.3,3133.03,True
DeepSeek-V3,5,0x400,323.6,5852.7,2740536.5,2670.3,77930.9,2827313.9,2827.31,True
DeepSeek-V3,6,0x100,401.5,3820.7,2964251.2,2124.7,96066.0,3066664.1,3066.66,True
DeepSeek-V3,7,0x200,351.2,4687.7,2677623.7,1914.6,86816.9,2771394.1,2771.39,True
DeepSeek-V3,8,0x100,308.9,7270.2,3372949.6,1586.8,100477.8,3482593.4,3482.59,True
DeepSeek-V3,9,0x6B0,469.9,4334.1,3109859.2,1885.2,63049.8,3179598.2,3179.6,True
DeepSeek-V3,10,0x280,400.0,5914.7,3269804.9,2259.1,86305.1,3364683.9,3364.68,True
DeepSeek-V3,11,0x400,172.7,3171.7,3238063.3,2326.1,90499.9,3334233.8,3334.23,True
DeepSeek-V3,12,0x280,470.9,5033.5,2951274.5,2443.4,91227.7,3050450.0,3050.45,True
DeepSeek-V3,13,0x280,408.6,4326.9,2962078.7,2305.7,56906.2,3026026.1,3026.03,True
DeepSeek-V3,14,0x200,235.4,6563.7,4078444.1,1760.3,96980.7,4183984.3,4183.98,True
DeepSeek-V3,15,0x3E8,296.0,4619.3,3781845.4,2130.8,98974.8,3887866.3,3887.87,True
DeepSeek-V3,16,0x6B0,354.2,3341.8,3197001.3,2436.6,71073.2,3274207.1,3274.21,True
DeepSeek-V3,17,0x400,400.9,6344.7,3371652.1,2108.8,88611.6,3469118.1,3469.12,True
DeepSeek-V3,18,0x6B0,336.9,5068.5,2794490.9,1941.3,104084.0,2905921.6,2905.92,True
DeepSeek-V3,19,0x100,425.7,4327.6,4104888.3,2018.8,80868.8,4192529.2,4192.53,True
DeepSeek-V3,20,0x100,553.2,3395.8,3499860.2,2014.6,79490.9,3585314.6,3585.31,True
DeepSeek-V3,21,0x7DF,393.5,4652.7,3193584.9,2153.7,91787.3,3292572.1,3292.57,True
DeepSeek-V3,22,0x300,282.9,5159.9,3366536.1,1265.0,66323.6,3439567.6,3439.57,True
DeepSeek-V3,23,0x100,286.0,5374.5,3481433.0,2487.6,77883.6,3567464.7,3567.46,True
DeepSeek-V3,24,0x158,382.7,4645.1,3163321.7,1655.3,91309.4,3261314.2,3261.31,True
DeepSeek-V3,25,0x500,279.2,5276.3,3232025.2,1611.0,77775.5,3316967.1,3316.97,True
DeepSeek-V3,26,0x7DF,480.8,6032.9,3256358.9,1847.7,87551.2,3352271.4,3352.27,True
DeepSeek-V3,27,0x500,249.8,3696.8,2692220.2,1939.2,108211.5,2806317.5,2806.32,True
DeepSeek-V3,28,0x6B0,227.0,4198.4,3431264.8,2631.6,92810.2,3531131.9,3531.13,True
DeepSeek-V3,29,0x500,308.8,5176.0,3972020.7,2928.0,91428.4,4071861.9,4071.86,True
DeepSeek-V3,30,0x158,415.7,5592.5,3152765.0,1958.6,70125.7,3230857.5,3230.86,True
Claude-3.5-Sonnet,1,0x400,391.7,4886.6,1172821.2,2769.1,62775.5,1243644.2,1243.64,True
Claude-3.5-Sonnet,2,0x6B0,364.8,5098.7,1037519.3,2224.4,107275.4,1152482.6,1152.48,True
Claude-3.5-Sonnet,3,0x400,272.5,4426.0,1387313.6,2350.8,95359.0,1489721.8,1489.72,True
Claude-3.5-Sonnet,4,0x280,285.5,7717.6,1468282.5,2171.5,82182.0,1560639.1,1560.64,True
Claude-3.5-Sonnet,5,0x3E8,347.1,4574.1,1015828.9,1970.2,71893.1,1094613.3,1094.61,True
Claude-3.5-Sonnet,6,0x300,231.4,4934.2,1406618.9,1307.7,110622.6,1523714.8,1523.71,True
Claude-3.5-Sonnet,7,0x400,382.5,4881.3,1280591.6,2512.3,95623.6,1383991.4,1383.99,True
Claude-3.5-Sonnet,8,0x400,228.6,5545.5,988643.7,2487.4,81619.5,1078524.7,1078.52,True
Claude-3.5-Sonnet,9,0x158,479.7,7314.1,1890319.2,2489.7,83452.1,1984054.7,1984.05,True
Claude-3.5-Sonnet,10,0x6B0,192.8,4809.1,762169.9,2534.9,57461.0,827167.6,827.17,True
Claude-3.5-Sonnet,11,0x300,222.3,5218.3,1777887.2,1768.6,83383.9,1868480.4,1868.48,True
Claude-3.5-Sonnet,12,0x280,395.2,6244.1,867768.1,1821.2,88056.2,964284.8,964.28,True
Claude-3.5-Sonnet,13,0x300,333.8,4361.0,1836431.5,2427.6,89973.4,1933527.3,1933.53,True
Claude-3.5-Sonnet,14,0x300,347.3,5381.6,913395.5,2233.6,84758.8,1006116.7,1006.12,True
Claude-3.5-Sonnet,15,0x500,430.6,4218.4,1690877.2,2421.5,83796.6,1781744.2,1781.74,True
Claude-3.5-Sonnet,16,0x300,380.4,5912.4,1763685.4,2352.9,118676.7,1891007.7,1891.01,True
Claude-3.5-Sonnet,17,0x158,226.5,4187.9,1340112.0,2941.8,44696.7,1392164.8,1392.16,True
