Model,Trial,CAN_ID,DLC,Data_Hex,History_Frames,LLM_Response,t_llm_ms
Claude-Sonnet-4,1,0x200,4,C3 C8 08 09,B4 B5 28 29 F7 5B | D9 DE 68 69 EB 18 E7 DE | 75 75 A6 A7 63 BE 36 | D6 D1 AF B0 0F CE | F6 F5 09,HTTP404,503.6
Claude-Sonnet-4,2,0x7DF,4,76 73 5E 5F,71 6F FB FC E1 AD | 6D 6A 88 89 9B 74 | 05 04 63 64 26 | 16 11 BF | B6 B2 50 51 98 EB EF C1,HTTP404,370.3
Claude-Sonnet-4,3,0x500,7,D0 D2 42 43 B4 46 26,BB BC 37 | C0 C5 94 95 | 32 34 8E 8F | 82 7E 18 19 CC | 64 68 E1 E2 20 7F EA 33,HTTP404,406.3
Claude-Sonnet-4,4,0x7DF,3,E5 E8 BF,6C 70 D5 D6 | 14 15 20 21 BB | 0B 0C 15 16 92 EC 1A | 00 03 46 | DC E1 6B,HTTP404,884.6
Claude-Sonnet-4,5,0x400,5,32 34 F9 FA 10,C1 C1 79 | 5B 57 F2 F3 | 3F 3C DA | FC F8 F2 | 46 45 95 96,HTTP404,362.4
DeepSeek-V3,1,0x6B0,5,1E 19 05 06 E0,AB AB D1 D2 FA | C5 C6 5C 5D 2E | 6C 6A 18 19 D6 B8 58 AD | 84 81 55 56 18 1A 6B | A3 9E C4 C5 4D E5,"{
  ""interpretation"": ""Byte 0: engine speed high byte; Byte 1: engine speed low byte (big-endian, 0.125 rpm/bit, offset 0). Trigger value 0x1E19 = 7705 * 0.125 = 963.125 rpm."",
  ""rule"": {""byteIdx"": 0",2702.8
DeepSeek-V3,2,0x280,5,4E 51 0D 0E 42,7F 7B 0F 10 2D E0 | 2C 2A E2 | 8D 8B 4B 4C EA | A9 A6 E5 | 28 2B 49,"{
  ""interpretation"": ""Byte 0 and 1 represent a 16-bit little-endian value (0x514E = 20814) likely engine RPM with scale 0.125 RPM/bit, giving ~2602 RPM. Byte 2 and 3 are another 16-bit value (0x0E0D ",3588.2
DeepSeek-V3,3,0x7DF,5,13 12 C7 C8 40,A9 A5 39 | E0 E5 50 51 AF | 77 77 7F 80 1F | 91 95 44 45 50 EA | 17 15 0D 0E E2 16 12,"{
  ""interpretation"": ""Byte 0: counter or status (0x13, 0xA9, 0xE0, 0x77, 0x91, 0x17). Byte 1: possibly a scaled value (0x12, 0xA5, 0xE5, 0x77, 0x95, 0x15)."",
  ""rule"": {""byteIdx"": 0, ""bitMask"": ""FF"",",2180.0
DeepSeek-V3,4,0x6B0,8,0E 0D EA EB C2 1B DE 4C,5B 59 2A | C1 C4 AA AB B6 | 04 05 CD | 69 6B AF B0 BA | 34 32 10 11 8A,"{
  ""interpretation"": ""First two bytes appear to be a counter or timestamp, incrementing by ~0x0E each frame."",
  ""rule"": {""byteIdx"": 0, ""bitMask"": ""FF"", ""scale"": 1.0, ""offset"": 0.0, ""unit"": ""count""},",2446.5
DeepSeek-V3,5,0x400,8,74 72 A8 A9 99 02 DB C1,B9 B9 9C 9D D1 51 82 | 56 52 F3 F4 E9 FA 77 C4 | A9 A9 93 94 51 FE | B5 B1 1F 20 32 | 9A 99 ED EE 04 1A D4,"{
  ""interpretation"": ""Byte 0 and 1 appear to be a 16-bit little-endian counter or sequence number, incrementing by 1 each frame (0x7274, 0xB9B9, 0x5256, 0xA9A9, 0xB1B5, 0x999A)."",
  ""rule"": {""byteIdx",2451.2
