Model,Trial,CAN_ID,t_det_us,t_tx_up_us,t_llm_us,t_comp_us,t_ota_us,t_total_us,t_total_ms
Claude-Sonnet-4,1,0x3E8,302.7,7113.8,1053100.6,2607.6,85632.9,1148757.6,1148.76
Claude-Sonnet-4,2,0x158,329.8,4391.5,524036.5,1990.7,76620.2,607368.7,607.37
Claude-Sonnet-4,3,0x3E8,383.2,6026.3,679784.7,2403.2,98150.4,786747.8,786.75
Claude-Sonnet-4,4,0x6B0,392.0,5826.9,386639.7,2109.7,76889.3,471857.6,471.86
Claude-Sonnet-4,5,0x3E8,448.5,5478.4,637165.3,2677.4,92251.4,738021.0,738.02
Claude-Sonnet-4,6,0x158,175.2,5143.4,731687.6,1789.4,66021.2,804816.8,804.82
Claude-Sonnet-4,7,0x6B0,349.6,4890.4,293339.9,2179.4,103528.5,404287.7,404.29
Claude-Sonnet-4,8,0x7DF,275.6,5135.9,638356.9,1678.2,58091.0,703537.6,703.54
Claude-Sonnet-4,9,0x6B0,325.8,4156.9,464779.3,2089.3,70366.6,541717.9,541.72
Claude-Sonnet-4,10,0x100,295.9,4347.6,501410.2,1680.1,100239.3,607973.1,607.97
Claude-Sonnet-4,11,0x6B0,385.2,4306.8,516278.7,1798.0,95891.7,618660.4,618.66
Claude-Sonnet-4,12,0x100,378.7,5163.0,417910.6,2132.7,75842.7,501427.6,501.43
Claude-Sonnet-4,13,0x500,433.3,3580.0,525954.9,2402.1,73453.9,605824.2,605.82
Claude-Sonnet-4,14,0x6B0,391.8,2818.8,772007.9,1702.0,91142.8,868063.3,868.06
Claude-Sonnet-4,15,0x280,263.8,6778.2,559497.7,2022.9,82957.0,651519.6,651.52
Claude-Sonnet-4,16,0x3E8,405.8,3815.5,433271.1,1947.5,73858.7,513298.7,513.3
Claude-Sonnet-4,17,0x158,371.9,5631.3,539337.2,1619.0,98163.6,645123.1,645.12
Claude-Sonnet-4,18,0x400,314.1,5442.5,555724.6,1987.1,91507.8,654976.0,654.98
Claude-Sonnet-4,19,0x100,299.2,5352.9,634251.9,1952.7,81880.8,723737.5,723.74
Claude-Sonnet-4,20,0x280,399.4,6995.6,477811.5,2383.7,105063.0,592653.2,592.65
Claude-Sonnet-4,21,0x400,270.2,6313.9,325510.9,1859.0,70518.1,404472.1,404.47
Claude-Sonnet-4,22,0x6B0,477.9,6713.2,335643.4,1485.8,96096.4,440416.7,440.42
Claude-Sonnet-4,23,0x500,499.7,6327.0,626569.9,2169.0,90572.6,726138.1,726.14
Claude-Sonnet-4,24,0x6B0,342.2,7133.8,609583.4,2784.7,110503.8,730347.8,730.35
Claude-Sonnet-4,25,0x158,428.4,3780.6,392059.2,2392.8,65017.9,463678.8,463.68
Claude-Sonnet-4,26,0x100,291.5,6788.7,957321.9,2168.9,71512.1,1038083.1,1038.08
Claude-Sonnet-4,27,0x280,206.0,5287.5,773813.8,1863.9,76012.0,857183.2,857.18
Claude-Sonnet-4,28,0x6B0,486.8,7216.1,252719.1,2561.8,83626.4,346610.2,346.61
Claude-Sonnet-4,29,0x400,293.7,4689.8,529965.7,1918.0,60767.7,597634.9,597.63
Claude-Sonnet-4,30,0x100,330.5,6867.2,252719.1,1850.2,71948.2,333715.3,333.72
DeepSeek-V3,1,0x3E8,411.1,4985.7,2629494.6,2463.4,76892.6,2714247.3,2714.25
DeepSeek-V3,2,0x400,431.4,4636.7,2722552.0,1972.6,86281.2,2815874.0,2815.87
DeepSeek-V3,3,0x7DF,228.3,5535.3,1536398.3,2018.9,92635.7,1636816.5,1636.82
DeepSeek-V3,4,0x200,338.4,4784.6,2634708.1,2209.5,87403.4,2729444.0,2729.44
DeepSeek-V3,5,0x7DF,404.2,4930.0,3047718.9,1758.6,106941.7,3161753.3,3161.75
DeepSeek-V3,6,0x200,386.4,5864.7,3259225.7,2843.4,73230.3,3341550.5,3341.55
DeepSeek-V3,7,0x200,383.6,6935.1,1923941.4,1852.9,82878.1,2015991.2,2015.99
DeepSeek-V3,8,0x280,274.7,4608.8,2804302.8,2114.3,70422.4,2881723.0,2881.72
DeepSeek-V3,9,0x500,513.0,5400.6,2213593.4,1972.8,88982.3,2310462.0,2310.46
DeepSeek-V3,10,0x158,284.4,6267.6,3441866.1,2281.7,101442.3,3552142.2,3552.14
DeepSeek-V3,11,0x200,464.0,5935.2,2422591.0,2536.5,92337.6,2523864.2,2523.86
DeepSeek-V3,12,0x300,470.3,7188.5,3321040.3,2117.7,72737.2,3403554.0,3403.55
DeepSeek-V3,13,0x100,214.5,6100.4,2193530.9,1975.3,114823.1,2316644.3,2316.64
DeepSeek-V3,14,0x400,309.2,4375.9,2254965.1,2298.0,93877.2,2355825.5,2355.83
DeepSeek-V3,15,0x500,324.5,5946.4,2458494.1,1340.2,70104.5,2536209.7,2536.21
DeepSeek-V3,16,0x500,421.7,6314.8,2573365.4,2029.2,86989.6,2669120.7,2669.12
DeepSeek-V3,17,0x200,442.0,4477.7,2534260.3,2011.4,63960.7,2605152.2,2605.15
DeepSeek-V3,18,0x300,215.7,5616.6,2345611.7,2865.8,79109.1,2433418.9,2433.42
DeepSeek-V3,19,0x500,295.4,4497.9,3202507.3,1149.3,93218.1,3301668.1,3301.67
DeepSeek-V3,20,0x280,409.4,6367.7,2184127.9,2092.7,93664.0,2286661.8,2286.66
DeepSeek-V3,21,0x280,469.6,6581.6,2526281.3,2145.9,104255.3,2639733.6,2639.73
DeepSeek-V3,22,0x3E8,319.7,5119.9,3286661.6,2557.6,100719.9,3395378.8,3395.38
DeepSeek-V3,23,0x3E8,368.0,6705.8,3657688.1,2293.2,113483.2,3780538.3,3780.54
DeepSeek-V3,24,0x100,334.8,6036.0,1688376.9,2013.3,95697.0,1792458.0,1792.46
DeepSeek-V3,25,0x400,329.6,5042.0,2700464.0,2127.8,97559.7,2805523.2,2805.52
DeepSeek-V3,26,0x280,317.6,5970.1,2099844.9,1701.7,112498.1,2220332.4,2220.33
DeepSeek-V3,27,0x6B0,436.7,5208.0,2646641.7,2033.0,88255.5,2742574.8,2742.57
DeepSeek-V3,28,0x7DF,214.6,6476.6,1849302.9,2154.1,107904.3,1966052.6,1966.05
DeepSeek-V3,29,0x3E8,403.8,3553.1,1771358.3,2274.1,50384.4,1827973.7,1827.97
DeepSeek-V3,30,0x200,378.0,4383.2,2197184.4,1851.9,71538.6,2275336.1,2275.34
Gemini-2.5-Flash,1,0x300,440.4,4167.8,4309316.1,2168.5,98523.2,4414616.0,4414.62
Gemini-2.5-Flash,2,0x280,448.8,6983.1,3242702.4,2473.6,90728.3,3343336.3,3343.34
Gemini-2.5-Flash,3,0x3E8,357.6,4074.7,2477216.7,1809.5,91183.6,2574642.0,2574.64
Gemini-2.5-Flash,4,0x7DF,435.5,5887.8,3377340.3,1991.6,110125.8,3495781.1,3495.78
Gemini-2.5-Flash,5,0x100,380.9,5077.8,3008672.4,1281.9,69030.7,3084443.8,3084.44
Gemini-2.5-Flash,6,0x500,268.2,3891.2,3566670.8,2334.2,58775.7,3631940.0,3631.94
Gemini-2.5-Flash,7,0x7DF,359.5,5295.2,3557813.3,2750.6,97482.0,3663700.6,3663.7
Gemini-2.5-Flash,8,0x7DF,372.6,5263.4,3242503.9,2250.7,86938.1,3337328.7,3337.33
Gemini-2.5-Flash,9,0x300,221.4,5209.6,4119866.8,2731.7,59844.4,4187873.9,4187.87
Gemini-2.5-Flash,10,0x400,441.6,4094.8,3326006.4,2542.7,94547.0,3427632.5,3427.63
Gemini-2.5-Flash,11,0x3E8,334.9,5099.5,4061177.0,1392.2,72379.2,4140382.8,4140.38
Gemini-2.5-Flash,12,0x100,347.1,6699.7,2818461.2,2442.2,59581.7,2887531.9,2887.53
Gemini-2.5-Flash,13,0x280,146.9,4554.9,4205728.9,2144.9,109190.1,4321765.6,4321.77
Gemini-2.5-Flash,14,0x7DF,328.9,6359.4,4122957.7,1966.4,94578.4,4226190.9,4226.19
Gemini-2.5-Flash,15,0x158,300.2,3627.7,2938881.6,2327.0,98780.2,3043916.8,3043.92
Gemini-2.5-Flash,16,0x200,294.1,3738.1,1619549.2,1700.8,112946.3,1738228.5,1738.23
Gemini-2.5-Flash,17,0x7DF,313.8,5660.1,3646845.8,2491.7,91475.8,3746787.2,3746.79
Gemini-2.5-Flash,18,0x500,386.7,5670.9,2645284.2,1820.4,71271.8,2724434.1,2724.43
Gemini-2.5-Flash,19,0x300,231.0,5434.7,3812073.2,2140.7,94573.0,3914452.8,3914.45
Gemini-2.5-Flash,20,0x6B0,196.4,5749.0,3859242.3,2832.8,74391.2,3942411.7,3942.41
Gemini-2.5-Flash,21,0x3E8,478.7,5808.6,2618206.2,1935.0,80909.4,2707337.9,2707.34
Gemini-2.5-Flash,22,0x200,241.1,4738.1,2365362.4,2453.5,82769.1,2455564.2,2455.56
Gemini-2.5-Flash,23,0x400,135.9,4598.6,3577904.0,2609.0,85188.4,3670436.0,3670.44
Gemini-2.5-Flash,24,0x100,326.9,4181.3,1619549.2,1852.4,70639.0,1696548.9,1696.55
Gemini-2.5-Flash,25,0x100,334.8,6807.2,2917428.0,1295.9,85205.1,3011071.0,3011.07
Gemini-2.5-Flash,26,0x500,409.0,4145.7,3855160.3,1910.9,82911.2,3944537.1,3944.54
