Model,Trial,CAN_ID,t_det_ms,t_tx_up_ms,t_llm_ms,t_comp_ms,t_ota_ms,t_total_ms,success,error
gemini-3.6-flash,0,0x300,0.377,5.252,11753.0,0.0,92.649,11851.278,True,
gemini-3.6-flash,1,0x300,0.383,5.507,6860.0,0.0,49.017,6914.907,True,
gemini-3.6-flash,2,0x7df,0.502,3.857,6474.0,0.0,78.197,6556.556,True,
gemini-3.6-flash,3,0x500,0.287,5.729,8045.0,0.0,64.355,8115.371,True,
gemini-3.6-flash,4,0x7df,0.381,4.175,11968.0,0.0,101.624,12074.18,True,
gemini-3.6-flash,5,0x400,0.277,5.524,15862.0,0.0,81.299,15949.1,True,
gemini-3.6-flash,6,0x300,0.218,2.792,11146.0,0.0,71.579,11220.589,True,
gemini-3.6-flash,7,0x500,0.228,4.826,11168.0,0.0,89.809,11262.863,True,
gemini-3.6-flash,8,0x200,0.312,5.048,8909.0,0.0,106.073,9020.433,True,
gemini-3.6-flash,9,0x7df,0.374,5.042,13578.0,0.0,100.246,13683.662,True,
gemini-3.6-flash,10,0x6b0,0.25,4.862,10733.0,0.0,53.05,10791.162,True,
gemini-3.6-flash,11,0x400,0.315,4.477,6388.0,0.0,107.048,6499.84,True,
gemini-3.6-flash,12,0x400,0.274,3.457,7653.0,0.0,94.185,7750.916,True,
gemini-3.6-flash,13,0x400,0.291,6.416,15742.0,0.0,88.109,15836.816,True,
gemini-3.6-flash,14,0x500,0.311,5.095,11964.0,0.0,88.979,12058.385,True,
gemini-3.6-flash,15,0x200,0.321,5.086,8077.0,0.0,89.282,8171.689,True,
gemini-3.6-flash,16,0x100,0.297,6.168,7676.0,0.0,101.661,7784.126,True,
gemini-3.6-flash,17,0x100,0.23,4.617,13214.0,0.0,96.758,13315.605,True,
gemini-3.6-flash,18,0x300,0.275,5.525,10794.0,0.0,64.601,10864.401,True,
gemini-3.6-flash,19,0x280,0.304,4.934,7013.0,0.0,84.098,7102.336,True,
gemini-3.6-flash,20,0x100,0.358,6.119,6994.0,0.0,80.879,7081.356,True,
gemini-3.6-flash,21,0x100,0.367,5.536,15834.0,0.0,58.134,15898.037,True,
gemini-3.6-flash,22,0x100,0.509,3.64,9876.0,0.0,113.485,9993.634,True,
gemini-3.6-flash,23,0x100,0.328,4.258,8039.0,0.0,94.16,8137.746,True,
gemini-3.6-flash,24,0x6b0,0.307,5.223,7708.0,0.0,90.732,7804.262,True,
gemini-3.6-flash,25,0x100,0.313,4.095,8239.0,0.0,65.609,8309.017,True,
gemini-3.6-flash,26,0x400,0.376,5.664,8889.0,0.0,69.611,8964.651,True,
gemini-3.6-flash,27,0x6b0,0.459,5.46,8698.0,0.0,98.028,8801.947,True,
gemini-3.6-flash,28,0x300,0.315,5.414,10342.0,0.0,73.824,10421.553,True,
gemini-3.6-flash,29,0x7df,0.339,4.124,5759.0,0.0,71.833,5835.296,True,
gpt-5.6-sol,0,0x6b0,0.217,4.721,9343.0,0.0,94.817,9442.755,True,
gpt-5.6-sol,1,0x400,0.3,5.349,5001.0,0.0,83.742,5090.391,True,
gpt-5.6-sol,2,0x500,0.414,2.601,6843.0,0.0,79.475,6925.49,True,
gpt-5.6-sol,3,0x500,0.325,5.21,5618.0,0.0,83.087,5706.622,True,
gpt-5.6-sol,4,0x300,0.452,4.552,6204.0,0.0,95.179,6304.183,True,
gpt-5.6-sol,5,0x500,0.39,5.18,7768.0,0.0,79.686,7853.256,True,
gpt-5.6-sol,6,0x500,0.359,6.151,5361.0,0.0,79.261,5446.771,True,
gpt-5.6-sol,7,0x3e8,0.384,4.551,7250.0,0.0,84.7,7339.635,True,
gpt-5.6-sol,8,0x3e8,0.394,4.158,5152.0,0.0,74.85,5231.402,True,
gpt-5.6-sol,9,0x6b0,0.332,7.555,5383.0,0.0,87.27,5478.157,True,
gpt-5.6-sol,10,0x400,0.48,4.619,7161.0,0.0,115.701,7281.8,True,
gpt-5.6-sol,11,0x158,0.291,5.042,8684.0,0.0,92.984,8782.317,True,
gpt-5.6-sol,12,0x3e8,0.358,6.214,8324.0,0.0,89.087,8419.659,True,
gpt-5.6-sol,13,0x280,0.329,4.374,6872.0,0.0,85.215,6961.918,True,
gpt-5.6-sol,14,0x400,0.323,7.106,233.0,0.0,0.0,240.429,False,Error transferring https://api.openai.com/v1/chat/completions - server replied with status code 429
gpt-5.6-sol,15,0x6b0,0.348,3.561,17848.0,0.0,88.257,17940.166,True,
gpt-5.6-sol,16,0x200,0.346,4.908,5909.0,0.0,82.025,5996.279,True,
gpt-5.6-sol,17,0x158,0.292,4.472,11035.0,0.0,102.433,11142.197,True,
gpt-5.6-sol,18,0x7df,0.299,3.476,13619.0,0.0,81.7,13704.475,True,
gpt-5.6-sol,19,0x400,0.448,3.289,5762.0,0.0,92.185,5857.922,True,
gpt-5.6-sol,20,0x3e8,0.309,6.746,5487.0,0.0,50.206,5544.261,True,
gpt-5.6-sol,21,0x500,0.369,6.448,5007.0,0.0,81.107,5094.924,True,
gpt-5.6-sol,22,0x3e8,0.305,6.145,912.0,0.0,0.0,918.45,False,Error transferring https://api.openai.com/v1/chat/completions - server replied with status code 429
gpt-5.6-sol,23,0x100,0.474,5.51,7296.0,0.0,76.262,7378.246,True,
gpt-5.6-sol,24,0x7df,0.313,7.024,5904.0,0.0,100.514,6011.851,True,
gpt-5.6-sol,25,0x400,0.304,5.84,5944.0,0.0,64.335,6014.479,True,
gpt-5.6-sol,26,0x6b0,0.309,5.197,7337.0,0.0,70.086,7412.592,True,
gpt-5.6-sol,27,0x7df,0.298,4.167,9732.0,0.0,81.437,9817.902,True,
gpt-5.6-sol,28,0x7df,0.448,4.866,8202.0,0.0,85.076,8292.39,True,
gpt-5.6-sol,29,0x3e8,0.426,3.918,7134.0,0.0,71.13,7209.474,True,
deepseek-v4-pro,0,0x500,0.279,5.183,17305.0,0.0,71.402,17381.864,True,
deepseek-v4-pro,1,0x158,0.29,4.738,18727.0,0.0,90.192,18822.22,True,
deepseek-v4-pro,2,0x300,0.179,5.038,17090.0,0.0,55.969,17151.186,True,
deepseek-v4-pro,3,0x3e8,0.403,3.885,17826.0,0.0,81.307,17911.595,True,
deepseek-v4-pro,4,0x3e8,0.4,3.923,17586.0,0.0,97.328,17687.651,True,
deepseek-v4-pro,5,0x158,0.407,6.043,14633.0,0.0,81.527,14720.977,True,
deepseek-v4-pro,6,0x200,0.346,6.52,16895.0,0.0,90.148,16992.014,True,
deepseek-v4-pro,7,0x6b0,0.177,5.147,16480.0,0.0,57.942,16543.266,True,
deepseek-v4-pro,8,0x100,0.29,6.819,18521.0,0.0,99.864,18627.973,True,
deepseek-v4-pro,9,0x6b0,0.148,5.415,16466.0,0.0,86.954,16558.517,True,
deepseek-v4-pro,10,0x280,0.389,5.419,17090.0,0.0,116.758,17212.566,True,
deepseek-v4-pro,11,0x400,0.398,3.717,16683.0,0.0,94.736,16781.851,True,
deepseek-v4-pro,12,0x200,0.367,5.264,17908.0,0.0,87.758,18001.389,True,
deepseek-v4-pro,13,0x100,0.522,3.666,16266.0,0.0,92.005,16362.193,True,
deepseek-v4-pro,14,0x280,0.378,3.967,14766.0,0.0,104.552,14874.897,True,
deepseek-v4-pro,15,0x400,0.369,4.219,16542.0,0.0,90.852,16637.44,True,
deepseek-v4-pro,16,0x500,0.347,5.367,17494.0,0.0,81.4,17581.114,True,
deepseek-v4-pro,17,0x400,0.49,3.498,15661.0,0.0,83.425,15748.413,True,
deepseek-v4-pro,18,0x200,0.399,6.433,16059.0,0.0,57.72,16123.552,True,
