Model,Trial,CAN_ID,t_det_ms,t_tx_up_ms,t_llm_ms,t_comp_ms,t_ota_ms,t_total_ms,success,error
deepseek-v4-pro,0,0x521,0.022,710.639,19457.0,0.0,1232.147,21399.808,True,
deepseek-v4-pro,1,0x54b,0.032,836.148,18141.0,0.0,198.486,19175.666,True,
deepseek-v4-pro,2,0x571,0.024,723.855,18849.0,0.0,614.364,20187.243,True,
deepseek-v4-pro,3,0x599,0.027,457.328,18612.0,0.0,16.074,19085.429,True,
deepseek-v4-pro,4,0x5bf,0.024,935.436,17729.0,0.0,702.685,19367.145,True,
deepseek-v4-pro,5,0x5e5,0.033,832.272,18230.0,0.0,17.267,19079.572,True,
deepseek-v4-pro,6,0x60b,0.021,416.74,17104.0,0.0,1141.666,18662.427,True,
deepseek-v4-pro,7,0x630,0.027,709.88,18641.0,0.0,1185.433,20536.34,True,
deepseek-v4-pro,8,0x658,0.023,1237.329,19657.0,0.0,611.228,21505.58,True,
deepseek-v4-pro,9,0x682,0.035,700.262,18020.0,0.005,1435.022,20155.324,True,
deepseek-v4-pro,10,0x6aa,0.028,534.397,17981.0,0.0,40.755,18556.18,True,
deepseek-v4-pro,11,0x6cf,0.028,1381.274,18585.0,0.0,924.456,20890.758,True,
deepseek-v4-pro,12,0x6f8,0.035,831.897,18048.0,0.0,398.038,19277.97,True,
deepseek-v4-pro,13,0x71e,0.024,726.87,17674.0,0.0,1064.384,19465.278,True,
deepseek-v4-pro,14,0x744,0.022,882.158,17855.0,0.0,897.882,19635.062,True,
deepseek-v4-pro,15,0x76b,0.066,580.208,18132.0,0.0,71.038,18783.312,True,
deepseek-v4-pro,16,0x790,0.035,356.353,17778.0,0.0,1211.149,19345.537,True,
deepseek-v4-pro,17,0x7b6,0.023,597.495,18435.0,0.0,1224.868,20257.386,True,
deepseek-v4-pro,18,0x7de,0.051,1515.089,20914.0,0.0,15.901,22445.041,True,
deepseek-v4-pro,19,0x00b,0.021,284.85,19434.0,0.0,35.417,19754.288,True,
deepseek-v4-pro,20,0x032,0.039,289.66,17095.0,0.0,920.793,18305.492,True,
deepseek-v4-pro,21,0x056,0.023,474.736,17524.0,0.0,444.585,18443.344,True,
deepseek-v4-pro,22,0x07b,0.036,809.226,16413.0,0.0,1331.821,18554.083,True,
deepseek-v4-pro,23,0x0a0,0.037,849.91,17619.0,0.0,1021.285,19490.232,True,
deepseek-v4-pro,24,0x0c7,0.033,452.484,17003.0,0.0,61.764,17517.281,True,
deepseek-v4-pro,25,0x0ea,0.033,427.714,16374.0,0.0,1433.761,18235.508,True,
deepseek-v4-pro,26,0x10e,0.031,687.415,17306.0,0.0,512.144,18505.59,True,
deepseek-v4-pro,27,0x133,0.023,457.893,17620.0,0.0,1023.372,19101.288,True,
deepseek-v4-pro,28,0x159,0.033,1021.428,17563.0,0.0,1023.888,19608.349,True,
deepseek-v4-pro,29,0x180,0.022,560.194,15773.0,0.0,933.281,17266.497,True,
claude-sonnet-5,0,0x200,0.035,169.787,9664.0,0.001,312.006,10145.829,True,
claude-sonnet-5,1,0x214,0.023,246.658,7109.0,0.0,1276.151,8631.832,True,
claude-sonnet-5,2,0x226,0.027,163.091,6717.0,0.0,64.566,6944.684,True,
claude-sonnet-5,3,0x234,0.03,108.47,6964.0,0.0,947.364,8019.864,True,
claude-sonnet-5,4,0x244,0.028,562.103,7785.0,0.0,205.936,8553.067,True,
claude-sonnet-5,5,0x255,0.025,90.394,4369.0,0.0,927.562,5386.981,True,
claude-sonnet-5,6,0x260,0.021,88.816,3524.0,0.0,7.132,3619.969,True,
claude-sonnet-5,7,0x268,0.037,87.778,4810.0,0.0,1023.895,5921.71,True,
