Model,Trial,CAN_ID,t_det_ms,t_tx_up_ms,t_llm_ms,t_comp_ms,t_ota_ms,t_total_ms,success,error
gpt-5.6-sol,0,0x26e,0.031,472.71,6058.0,0.0,699.034,7229.775,True,
gpt-5.6-sol,1,0x27d,0.022,275.325,4557.0,0.0,168.96,5001.307,True,
gpt-5.6-sol,2,0x288,0.033,49.17,5656.0,0.0,974.152,6679.355,True,
gpt-5.6-sol,3,0x296,0.021,228.355,4682.0,0.0,957.275,5867.651,True,
gpt-5.6-sol,4,0x2a2,0.045,344.216,4593.0,0.0,67.117,5004.378,True,
gpt-5.6-sol,5,0x2ad,0.022,3.999,4866.0,0.0,1055.86,5925.881,True,
gpt-5.6-sol,6,0x2b9,0.023,487.82,7050.0,0.0,961.056,8498.899,True,
gpt-5.6-sol,7,0x2ca,0.028,128.564,7023.0,0.0,911.818,8063.41,True,
gpt-5.6-sol,8,0x2db,0.051,154.914,3866.0,0.0,58.176,4079.141,True,
gpt-5.6-sol,9,0x2e4,0.023,0.0,5774.0,0.0,1158.463,6932.486,True,
gpt-5.6-sol,10,0x2f2,0.027,225.526,4434.0,0.0,688.823,5348.376,True,
gpt-5.6-sol,11,0x2fd,0.027,412.951,4411.0,0.0,1268.551,6092.529,True,
gpt-5.6-sol,12,0x30a,0.161,176.876,5733.0,0.0,89.209,5999.246,True,
gpt-5.6-sol,13,0x317,0.034,0.0,3862.0,0.0,1097.658,4959.692,True,
gpt-5.6-sol,14,0x321,0.03,179.748,3723.0,0.0,662.745,4565.523,True,
gpt-5.6-sol,15,0x32b,0.023,37.656,4908.0,0.0,90.57,5036.249,True,
gpt-5.6-sol,16,0x336,0.023,142.034,3889.0,0.0,720.764,4751.821,True,
gpt-5.6-sol,17,0x340,0.035,403.91,4823.0,0.0,1523.505,6750.45,True,
gpt-5.6-sol,18,0x34e,0.027,304.753,4423.0,0.0,573.414,5301.194,True,
gpt-5.6-sol,19,0x359,0.029,0.0,4031.0,0.0,1076.576,5107.605,True,
gpt-5.6-sol,20,0x364,0.023,158.516,5661.0,0.0,994.601,6814.14,True,
gpt-5.6-sol,21,0x372,0.027,311.025,4971.0,0.0,807.403,6089.455,True,
gpt-5.6-sol,22,0x37f,0.059,158.426,8252.0,0.0,963.725,9374.21,True,
gpt-5.6-sol,23,0x392,0.03,163.66,3593.0,0.0,542.08,4298.77,True,
gpt-5.6-sol,24,0x39b,0.026,0.0,4244.0,0.0,1081.471,5325.497,True,
gpt-5.6-sol,25,0x3a6,0.031,327.0,4804.0,0.0,954.818,6085.849,True,
