Trial,t_resp_us
21,109
22,109
23,109
24,109
25,109
26,113
27,111
28,109
29,109
30,109
31,109
32,109
33,109
34,109
35,112
36,109
37,109
38,111
39,109
40,113
41,109
42,109
43,110
44,114
45,109
46,109
47,108
48,109
49,109
50,111
51,109
52,109
53,113
54,109
55,109
56,109
57,110
58,109
59,109
60,110
61,111
62,110
63,113
64,109
65,109
66,113
67,109
68,109
69,109
70,110
71,109
72,109
73,109
74,109
75,109
76,114
77,109
78,108
79,109
80,109
81,109
82,109
83,109
84,113
85,109
86,109
87,109
88,110
89,110
90,113
91,109
92,109
93,109
94,109
95,109
96,112
97,109
98,109
99,109
100,109
101,109
102,109
103,109
104,109
105,113
106,109
107,109
108,110
109,109
110,110
111,109
112,113
113,113
114,109
115,111
116,109
117,109
118,109
119,110
120,110
121,109
122,109
123,109
124,108
125,109
126,112
127,108
128,109
129,113
130,109
131,113
132,109
133,109
134,110
135,115
136,113
137,109
138,109
139,109
140,109
141,109
142,113
143,113
144,109
145,109
146,109
147,109
148,114
149,109
150,109
151,109
152,108
153,109
154,109
155,112
156,113
157,110
158,109
159,109
160,109
161,114
162,108
163,109
164,109
165,109
166,109
167,109
168,109
169,114
170,109
171,109
172,109
173,110
174,113
175,109
176,113
177,114
178,110
179,109
180,108
181,108
182,109
183,109
184,109
185,109
186,113
187,109
188,109
189,113
190,108
191,109
192,110
193,109
194,109
195,109
196,109
197,109
198,109
199,109
200,109
201,109
202,108
203,108
204,109
205,109
206,109
207,109
208,109
209,109
210,113
211,109
212,109
213,109
214,109
215,109
216,113
217,108
218,109
219,109
220,109
221,109
222,109
223,109
224,110
225,109
226,109
227,109
228,109
229,109
230,109
231,109
232,113
233,109
234,110
235,109
236,109
237,113
238,113
239,109
240,109
241,109
242,113
243,109
244,109
245,109
246,109
247,109
248,109
249,109
250,109
251,109
252,113
253,109
254,109
255,109
256,109
257,109
258,109
259,109
260,109
261,109
262,109
263,109
264,108
265,109
266,109
267,109
268,109
269,109
270,109
271,109
272,109
273,109
274,109
275,109
276,113
277,109
278,109
279,113
280,114
281,114
282,110
283,109
284,109
285,109
286,109
287,109
288,109
289,109
290,112
291,109
292,113
293,113
294,109
295,109
296,109
297,109
298,110
299,114
300,109
301,109
302,109
303,109
304,109
305,112
306,109
307,113
308,109
309,110
310,109
311,113
312,109
313,109
314,109
315,113
316,109
317,109
318,109
319,109
320,109
321,109
322,110
323,110
324,109
325,114
326,110
327,109
328,109
329,109
330,109
331,113
332,109
333,109
334,109
335,109
336,109
337,109
338,109
339,109
340,109
341,109
342,109
343,110
344,109
345,109
346,109
347,109
348,109
349,109
350,109
351,109
352,109
353,113
354,109
355,109
356,109
357,109
358,110
359,109
360,109
361,109
362,109
363,109
364,109
365,109
366,109
367,109
368,109
369,109
370,109
371,109
372,109
373,109
374,109
375,109
376,111
377,109
378,109
379,109
380,110
381,109
382,109
383,111
384,108
385,109
386,109
387,109
388,109
389,109
390,109
391,109
392,109
393,111
394,109
395,109
396,109
397,109
398,110
399,110
400,109
401,109
402,109
403,109
404,111
405,109
406,112
407,109
408,109
409,109
410,110
411,112
412,109
413,109
414,113
415,110
416,109
417,108
418,109
419,109
420,109
421,109
422,109
423,109
424,109
425,109
426,109
427,109
428,109
429,109
430,109
431,112
432,113
433,113
434,109
435,109
436,109
437,109
438,109
439,109
