trial,t_resp_us
1,112
2,112
3,112
4,112
5,112
6,111
7,112
8,113
9,116
10,112
11,111
12,111
13,112
14,111
15,112
16,112
17,112
18,116
19,112
20,111
21,111
22,115
23,112
24,112
25,112
26,116
27,112
28,112
29,112
30,111
31,112
32,111
33,112
34,116
35,112
36,111
37,111
38,112
39,112
40,112
41,112
42,112
43,112
44,112
45,112
46,116
47,112
48,112
49,116
50,112
51,112
52,111
53,111
54,116
55,112
56,112
57,112
58,112
59,112
60,112
61,112
62,111
63,112
64,116
65,112
66,111
67,112
68,112
69,111
70,111
71,112
72,115
73,112
74,112
75,111
76,115
77,112
78,112
79,112
80,111
81,112
82,112
83,111
84,112
85,112
86,111
87,112
88,112
89,116
90,112
91,111
92,115
93,112
94,111
95,115
96,116
97,112
98,112
99,113
100,116
101,112
102,112
103,111
104,117
105,111
106,112
107,112
108,113
109,112
110,111
111,111
112,115
113,111
114,112
115,116
116,111
117,111
118,113
119,112
120,112
121,112
122,114
123,111
124,112
125,112
126,113
127,112
128,112
129,111
130,112
131,114
132,111
133,112
134,112
135,111
136,115
137,112
138,112
139,112
140,113
141,116
142,112
143,111
144,111
145,112
146,116
147,112
148,112
149,112
150,112
151,117
152,111
153,111
154,112
155,113
156,112
157,112
158,112
159,112
160,116
161,116
162,112
163,112
164,114
165,111
166,112
167,113
168,115
169,112
170,112
171,112
172,111
173,112
174,112
175,111
176,112
177,112
178,112
179,112
180,112
181,112
182,112
183,115
184,112
185,112
186,112
187,113
188,112
189,111
190,111
191,112
192,112
193,112
194,112
195,112
196,111
197,115
198,116
199,112
200,112
201,114
202,112
203,112
204,113
205,112
206,112
207,111
208,112
209,116
210,112
211,112
212,112
213,116
214,111
215,111
216,112
217,111
218,111
219,112
220,111
221,112
222,116
223,112
224,111
225,115
226,114
227,112
228,112
229,112
230,113
231,112
232,112
233,111
234,112
235,115
236,115
237,112
238,112
239,112
240,113
241,111
242,112
243,112
244,112
245,113
246,115
247,115
248,112
249,112
250,111
251,113
252,112
253,112
254,116
255,113
256,116
257,111
258,112
259,112
260,111
261,112
262,112
263,111
264,112
265,116
266,111
267,111
268,115
269,112
270,112
271,116
272,111
273,112
274,116
275,111
276,112
277,114
278,116
279,112
280,112
281,112
282,115
283,117
284,111
285,111
286,112
287,115
288,112
289,112
290,116
291,112
292,112
293,111
294,111
295,112
296,113
297,116
298,112
299,112
300,112
301,111
302,111
303,113
304,112
305,111
306,112
307,116
308,112
309,112
310,112
311,112
312,112
313,111
314,116
315,112
316,111
317,113
318,116
319,111
320,112
321,112
322,112
323,116
324,112
325,112
326,111
327,111
328,112
329,112
330,112
331,111
332,112
333,116
334,112
335,111
336,112
337,111
338,112
339,116
340,116
341,112
342,112
343,112
344,113
345,112
346,112
347,112
348,113
349,115
350,112
351,111
352,111
353,112
354,112
355,112
356,111
357,112
358,114
359,115
360,112
361,112
362,112
363,116
364,111
365,112
366,112
367,113
368,111
369,112
370,112
371,112
372,112
373,111
374,112
375,112
376,112
377,113
378,112
379,112
380,112
381,112
382,111
383,116
384,112
385,111
386,112
387,116
388,111
389,111
390,112
391,114
392,112
393,112
394,113
395,116
396,112
397,112
398,112
399,116
400,111
401,112
402,113
403,112
404,111
405,111
406,116
407,112
408,112
409,115
410,112
411,111
412,113
413,116
414,111
415,112
416,112
417,112
418,112
419,116
420,111
421,112
422,111
423,111
424,112
425,112
426,112
427,112
428,111
429,112
430,116
431,112
432,112
433,112
434,111
435,112
436,112
437,115
438,112
439,111
440,116
441,112
442,111
443,115
444,112
445,112
446,115
447,111
448,112
449,112
450,112
451,112
452,112
453,115
454,112
455,112
456,111
457,116
458,112
459,112
460,112
461,116
462,111
463,111
464,112
465,112
466,111
467,112
468,112
469,117
470,112
471,112
472,111
473,112
474,111
475,112
476,113
477,111
478,111
479,112
480,112
481,112
482,112
483,111
484,112
485,112
486,111
487,113
488,112
489,112
490,112
491,112
492,111
493,112
494,112
495,116
496,112
497,112
498,112
499,111
500,111
501,112
502,112
503,112
504,112
505,116
506,112
507,112
508,115
509,112
510,112
511,116
512,115
513,112
514,112
515,112
516,112
517,115
518,111
519,111
520,115
521,112
522,111
523,111
524,112
525,112
526,112
527,111
528,112
529,112
530,115
531,111
532,111
533,116
534,112
535,111
536,112
537,116
538,111
539,111
540,112
541,111
542,112
543,112
544,113
545,112
546,112
547,112
548,112
549,111
550,116
551,112
552,112
553,113
554,115
555,111
556,111
557,112
558,112
559,111
560,112
561,116
562,112
563,112
564,116
565,111
566,112
567,112
568,116
569,111
570,112
