t_resp_us,n_spi_transactions,spi_busy_us,int_to_first_cs_us,last_cs_to_reaction_us,processing_gaps_us
112,5,48,10,7,47
111,5,45,10,7,49
112,5,47,11,6,48
112,5,47,10,7,48
111,5,48,9,7,47
112,5,47,10,7,48
112,5,47,10,7,48
112,5,47,10,7,48
115,5,50,10,7,48
112,5,48,10,7,47
111,5,47,10,6,48
112,5,48,10,7,47
112,5,47,10,7,48
112,5,47,10,7,48
113,5,47,10,7,49
113,5,48,11,7,47
111,5,48,9,7,47
111,5,46,10,7,48
112,5,48,10,7,47
116,5,46,10,7,53
112,5,48,10,7,47
112,5,48,10,7,47
112,5,48,10,7,47
112,5,47,10,7,48
111,5,48,9,7,47
111,5,46,10,7,48
113,5,47,10,8,48
116,5,47,10,11,48
111,5,47,9,7,48
111,5,46,10,7,48
112,5,47,10,7,48
113,5,48,10,7,48
112,5,48,10,7,47
112,5,47,10,7,48
112,5,47,10,7,48
111,5,46,10,7,48
111,5,46,10,7,48
112,5,47,10,7,48
112,5,48,10,7,47
112,5,47,10,7,48
111,5,46,10,7,48
111,5,46,10,7,48
111,5,45,10,7,49
112,5,47,10,7,48
112,5,47,10,7,48
112,5,47,10,7,48
116,5,48,10,11,47
116,5,51,10,7,48
112,5,48,10,7,47
112,5,48,10,7,47
116,5,47,10,7,52
111,5,48,9,7,47
111,5,46,10,7,48
112,5,47,10,7,48
116,5,51,10,7,48
112,5,47,10,7,48
111,5,48,9,7,47
111,5,47,9,7,48
112,5,47,10,7,48
112,5,47,10,7,48
111,5,46,10,7,48
111,5,46,10,7,48
112,5,47,10,7,48
112,5,47,10,7,48
112,5,47,10,7,48
112,5,47,10,7,48
112,5,47,10,7,48
112,5,47,10,7,48
115,5,51,10,6,48
112,5,47,10,7,48
111,5,47,9,7,48
112,5,48,10,7,47
112,5,47,10,7,48
111,5,47,10,6,48
111,5,48,9,7,47
115,5,50,10,7,48
112,5,47,10,7,48
112,5,48,10,7,47
112,5,47,10,7,48
116,5,52,10,7,47
112,5,47,10,7,48
112,5,48,10,7,47
112,5,47,10,7,48
112,5,48,10,7,47
111,5,48,9,7,47
112,5,48,10,7,47
111,5,47,9,7,48
112,5,48,10,7,47
112,5,47,10,7,48
112,5,48,10,7,47
112,5,47,10,7,48
116,5,52,10,7,47
112,5,47,10,7,48
112,5,47,10,7,48
112,5,46,11,7,48
111,5,45,10,7,49
115,5,50,10,7,48
111,5,48,9,7,47
112,5,47,10,7,48
112,5,47,10,7,48
111,5,47,9,7,48
115,5,51,10,7,47
112,5,48,10,7,47
111,5,46,10,7,48
115,5,53,9,7,46
112,5,48,10,7,47
112,5,47,10,7,48
116,5,47,10,7,52
111,5,47,9,7,48
112,5,47,10,7,48
112,5,48,10,7,47
115,5,47,10,7,51
112,5,48,10,7,47
112,5,47,10,7,48
113,5,49,10,7,47
116,5,52,10,7,47
111,5,46,10,7,48
111,5,46,10,7,48
111,5,47,10,6,48
112,5,48,10,7,47
112,5,47,10,7,48
112,5,47,10,7,48
114,5,50,9,7,48
112,5,47,10,7,48
112,5,47,10,7,48
111,5,46,10,7,48
112,5,47,10,7,48
115,5,48,10,7,50
112,5,48,10,7,47
112,5,48,10,7,47
112,5,47,10,7,48
116,5,46,10,7,53
112,5,47,10,7,48
112,5,47,10,7,48
114,5,47,10,6,51
112,5,48,10,7,47
112,5,47,10,7,48
111,5,48,9,7,47
116,5,48,10,7,51
112,5,47,10,7,48
112,5,48,10,7,47
112,5,48,10,7,47
117,5,47,10,7,53
116,5,52,10,7,47
112,5,47,10,7,48
111,5,47,10,6,48
113,5,47,10,8,48
112,5,48,10,7,47
112,5,46,11,7,48
112,5,48,10,7,47
116,5,47,10,11,48
112,5,47,10,7,48
112,5,47,10,7,48
115,5,50,10,7,48
111,5,47,10,6,48
112,5,47,10,7,48
112,5,47,10,7,48
116,5,47,10,7,52
112,5,47,10,7,48
112,5,48,10,7,47
112,5,47,10,7,48
112,5,47,10,7,48
111,5,48,9,7,47
111,5,46,10,7,48
111,5,48,9,7,47
112,5,48,10,7,47
112,5,47,10,7,48
112,5,47,10,7,48
112,5,48,10,7,47
113,5,48,10,6,49
112,5,47,10,7,48
112,5,47,10,7,48
112,5,47,10,7,48
111,5,46,10,7,48
112,5,47,10,7,48
111,5,48,9,7,47
112,5,48,10,7,47
112,5,47,10,7,48
115,5,47,10,6,52
111,5,47,9,7,48
111,5,46,10,7,48
111,5,45,10,7,49
116,5,48,10,7,51
112,5,47,10,7,48
111,5,47,9,7,48
117,5,48,10,7,52
112,5,47,10,7,48
112,5,47,10,7,48
113,5,47,10,8,48
112,5,47,10,7,48
111,5,45,10,7,49
112,5,48,10,7,47
116,5,51,10,7,48
111,5,46,10,7,48
111,5,46,10,7,48
113,5,47,10,7,49
116,5,49,10,7,50
111,5,47,9,7,48
111,5,46,10,7,48
112,5,48,10,7,47
112,5,47,10,7,48
116,5,47,10,7,52
112,5,47,10,7,48
112,5,47,10,7,48
115,5,45,10,7,53
112,5,48,10,7,47
111,5,47,9,7,48
112,5,47,10,7,48
113,5,48,10,7,48
116,5,48,9,7,52
111,5,47,10,6,48
112,5,47,10,7,48
111,5,47,9,7,48
112,5,48,10,7,47
116,5,51,10,7,48
111,5,48,9,7,47
111,5,45,10,7,49
112,5,47,10,7,48
116,5,48,10,7,51
112,5,48,10,7,47
111,5,47,9,7,48
111,5,47,9,7,48
115,5,48,10,7,50
112,5,47,10,7,48
112,5,48,10,7,47
111,5,46,9,7,49
116,5,47,10,7,52
112,5,47,10,7,48
111,5,46,10,7,48
111,5,46,10,7,48
111,5,47,10,6,48
112,5,47,10,7,48
112,5,48,10,7,47
112,5,47,10,7,48
112,5,47,10,7,48
112,5,48,10,7,47
116,5,47,10,7,52
112,5,47,10,7,48
112,5,47,10,7,48
116,5,48,9,7,52
112,5,48,10,7,47
112,5,47,10,7,48
112,5,47,10,7,48
116,5,47,9,7,53
111,5,46,10,7,48
112,5,47,10,7,48
111,5,45,10,7,49
116,5,47,14,7,48
112,5,47,10,7,48
112,5,47,10,7,48
111,5,46,9,7,49
115,5,50,10,7,48
112,5,45,11,7,49
111,5,47,9,7,48
115,5,52,9,7,47
112,5,47,10,7,48
112,5,48,10,7,47
