bitrate_bps,target_rate_fps,actual_rate_fps,n_sent,n_enobufs,n_rcvd,overflow_events,flr_percent
250000,100,100.5,201,0,201,0,0.0
250000,200,200.5,401,0,401,0,0.0
250000,300,300.5,601,0,601,0,0.0
250000,400,400.5,801,0,801,0,0.0
250000,500,500.5,1001,0,1001,0,0.0
250000,600,600.5,1201,0,1201,0,0.0
250000,700,700.5,1401,0,1401,0,0.0
250000,800,800.5,1601,0,1601,0,0.0
250000,900,900.5,1801,0,1801,0,0.0
250000,1000,1000.5,2001,0,2001,0,0.0
250000,1100,1100.5,2201,0,2201,0,0.0
250000,1200,1200.5,2401,0,2401,0,0.0
250000,1300,1300.5,2601,0,2601,0,0.0
250000,1400,1400.5,2801,0,2801,0,0.0
250000,1500,1500.5,3001,0,3001,0,0.0
250000,1600,1600.5,3201,0,3201,0,0.0
250000,1700,1700.5,3401,0,3401,0,0.0
250000,1800,1800.5,3601,0,3601,0,0.0
250000,1900,1900.5,3801,0,3801,0,0.0
250000,2000,2000.5,4001,0,4001,0,0.0
250000,2100,2100.5,4201,0,4201,0,0.0
250000,2200,2200.5,4401,0,4401,0,0.0
250000,2300,2243.0,4486,115,4486,0,0.0
250000,2400,2249.0,4498,303,4498,0,0.0
250000,2500,2253.5,4507,494,4507,0,0.0
250000,2600,2255.5,4511,690,4511,0,0.0
250000,2700,2257.0,4514,887,4514,0,0.0
250000,2800,2254.0,4508,1093,4508,0,0.0
250000,2900,2257.5,4515,1286,4515,0,0.0
250000,3000,2258.0,4516,1485,4516,0,0.0
250000,3100,2256.5,4513,1688,4513,0,0.0
250000,3200,2258.0,4516,1885,4516,0,0.0
250000,3300,2259.0,4518,2083,4518,0,0.0
250000,3400,2259.0,4518,2283,4518,0,0.0
250000,3500,2259.0,4518,2483,4518,0,0.0
250000,3600,2260.0,4520,2681,4520,0,0.0
250000,3700,2258.5,4517,2884,4517,0,0.0
250000,3800,2260.0,4520,3081,4520,0,0.0
250000,3900,2259.5,4519,3282,4519,0,0.0
250000,4000,2256.5,4513,3488,4513,0,0.0
250000,4100,2259.0,4518,3683,4518,0,0.0
250000,4200,2259.0,4518,3883,4518,0,0.0
250000,4300,2260.0,4520,4081,4520,0,0.0
250000,4400,2260.0,4520,4281,4520,0,0.0
250000,4500,2260.5,4521,4480,4521,0,0.0
250000,4600,2260.5,4521,4680,4521,0,0.0
250000,4700,2260.5,4521,4880,4521,0,0.0
250000,4800,2260.5,4521,5080,4521,0,0.0
250000,4900,2260.0,4520,5281,4520,0,0.0
250000,5000,2260.0,4520,5481,4520,0,0.0
