buffer_size,buffer_size_confirmed,frequency_hz,theoretical_ms,factor,wait_ms_target,n_sent,total_arrived,dropped,loss
32,32,100,320.0,0.3,96,26,26,0,False
32,32,100,320.0,0.6,192,36,36,0,False
32,32,100,320.0,1.0,320,48,48,0,False
32,32,100,320.0,1.5,480,64,64,16,True
32,32,100,320.0,2.5,800,96,96,48,True
32,32,100,320.0,4.0,1280,144,144,96,True
32,32,500,64.0,0.3,19,86,86,0,False
32,32,500,64.0,0.6,38,95,95,0,False
32,32,500,64.0,1.0,64,108,108,0,False
32,32,500,64.0,1.5,96,124,124,15,True
32,32,500,64.0,2.5,160,156,156,47,True
32,32,500,64.0,4.0,256,204,204,95,True
32,32,1000,32.0,0.3,10,161,161,0,False
32,32,1000,32.0,0.6,19,170,170,0,False
32,32,1000,32.0,1.0,32,183,183,0,False
32,32,1000,32.0,1.5,48,199,199,13,True
32,32,1000,32.0,2.5,80,231,231,46,True
32,32,1000,32.0,4.0,128,279,279,94,True
