 bufor  freq[Hz]  teor.[ms]  max_safe[ms]  first_unsafe[ms]
     4       100       40.0            40                60
     4       500        8.0             8                12
     4      1000        4.0             6                10
     8       100       80.0            80               120
     8       500       16.0            16                24
     8      1000        8.0             8                12
    16       100      160.0           160               240
    16       500       32.0            32                48
    16      1000       16.0            16                24
    32       100      320.0           320               480
    32       500       64.0            64                96
    32      1000       32.0            32                48
    64       100      640.0           640               960
    64       500      128.0           128               192
    64      1000       64.0            64                96
