state,mode,elapsed_ms,frame_count,n_sent,loop_spins,spin_rate_hz,cpu_load_pct_proxy,loop_task_busy_us,elapsed_us,cpu_load_pct_real,free_heap_kb,min_free_heap_kb,used_heap_kb,heap_size_kb,sketch_size_kb,free_sketch_space_kb
IDLE,0,3201,151,151,5789622,1808691.7,1.9,57540,3201022,1.798,303.32,301.4,29.5,332.82,272.44,0.0
IDLE,0,3201,151,151,5789743,1808729.5,1.89,57674,3201326,1.802,303.32,301.4,29.5,332.82,272.44,0.0
IDLE,0,3201,151,151,5793008,1809749.5,1.84,57906,3200998,1.809,303.32,301.4,29.5,332.82,272.44,0.0
IDLE,0,3201,151,151,5791351,1809231.8,1.87,57162,3200860,1.786,303.32,301.4,29.5,332.82,272.44,0.0
IDLE,0,3201,151,151,5789751,1808732.0,1.89,57326,3201129,1.791,303.32,301.4,29.5,332.82,272.44,0.0
IDLE,0,3201,151,151,5793940,1810040.6,1.82,58364,3201345,1.823,303.32,301.4,29.5,332.82,272.44,0.0
IDLE,0,3201,151,151,5793914,1810032.5,1.82,56310,3201022,1.759,303.32,301.4,29.5,332.82,272.44,0.0
IDLE,0,3201,151,151,5791503,1809279.3,1.86,56147,3201163,1.754,303.32,301.4,29.5,332.82,272.44,0.0
IDLE,0,3201,151,151,5793996,1810058.1,1.82,58129,3201316,1.816,303.32,301.4,29.5,332.82,272.44,0.0
IDLE,0,3202,151,151,5793992,1809491.6,1.85,58515,3201343,1.828,303.32,301.4,29.5,332.82,272.44,0.0
IDLE,0,3201,151,151,5789711,1808719.5,1.89,57615,3201224,1.8,303.32,301.4,29.5,332.82,272.44,0.0
IDLE,0,3201,151,151,5792573,1809613.6,1.85,56082,3201150,1.752,303.32,301.4,29.5,332.82,272.44,0.0
IDLE,0,3201,151,151,5789414,1808626.7,1.9,57679,3201047,1.802,303.32,301.4,29.5,332.82,272.44,0.0
IDLE,0,3201,151,151,5789202,1808560.4,1.9,57654,3200990,1.801,303.32,301.4,29.5,332.82,272.44,0.0
IDLE,0,3201,151,151,5791796,1809370.8,1.86,56538,3201163,1.766,303.32,301.4,29.5,332.82,272.44,0.0
IDLE,0,3202,151,151,5793827,1809440.0,1.86,58484,3201250,1.827,303.32,301.4,29.5,332.82,272.44,0.0
IDLE,0,3201,151,151,5793695,1809964.1,1.83,55600,3201117,1.737,303.32,301.4,29.5,332.82,272.44,0.0
IDLE,0,3201,151,151,5789470,1808644.2,1.9,57698,3201113,1.802,303.32,301.4,29.5,332.82,272.44,0.0
IDLE,0,3201,151,151,5793569,1809924.7,1.83,57180,3201113,1.786,303.32,301.4,29.5,332.82,272.44,0.0
IDLE,0,3201,151,151,5789289,1808587.6,1.9,57586,3201062,1.799,303.32,301.4,29.5,332.82,272.44,0.0
PARSING,1,3201,151,151,5793219,1809815.4,1.83,57829,3201142,1.807,303.32,301.4,29.5,332.82,272.44,0.0
PARSING,1,3202,151,151,5793356,1809292.9,1.86,58678,3201170,1.833,303.32,301.4,29.5,332.82,272.44,0.0
PARSING,1,3201,151,151,5791881,1809397.4,1.86,56405,3201061,1.762,303.32,301.4,29.5,332.82,272.44,0.0
PARSING,1,3201,151,151,5789337,1808602.6,1.9,57829,3201176,1.806,303.32,301.4,29.5,332.82,272.44,0.0
PARSING,1,3201,151,151,5791656,1809327.1,1.86,56519,3200779,1.766,303.32,301.4,29.5,332.82,272.44,0.0
PARSING,1,3201,151,151,5789681,1808710.1,1.89,57637,3201160,1.801,303.32,301.4,29.5,332.82,272.44,0.0
PARSING,1,3202,151,151,5793617,1809374.5,1.86,56132,3201249,1.753,303.32,301.4,29.5,332.82,272.44,0.0
PARSING,1,3200,151,151,5792394,1810123.1,1.82,58301,3200578,1.822,303.32,301.4,29.5,332.82,272.44,0.0
PARSING,1,3201,151,151,5793398,1809871.3,1.83,58588,3201158,1.83,303.32,301.4,29.5,332.82,272.44,0.0
PARSING,1,3201,151,151,5793237,1809821.0,1.83,58634,3201086,1.832,303.32,301.4,29.5,332.82,272.44,0.0
PARSING,1,3201,151,151,5793366,1809861.3,1.83,58640,3201159,1.832,303.32,301.4,29.5,332.82,272.44,0.0
PARSING,1,3201,151,151,5792824,1809692.0,1.84,57692,3200859,1.802,303.32,301.4,29.5,332.82,272.44,0.0
PARSING,1,3201,151,151,5793246,1809823.8,1.83,58098,3201109,1.815,303.32,301.4,29.5,332.82,272.44,0.0
PARSING,1,3201,151,151,5793547,1809917.8,1.83,58509,3201238,1.828,303.32,301.4,29.5,332.82,272.44,0.0
PARSING,1,3201,151,151,5789921,1808785.1,1.89,57494,3201132,1.796,303.32,301.4,29.5,332.82,272.44,0.0
PARSING,1,3201,151,151,5789499,1808653.2,1.9,57801,3201236,1.806,303.32,301.4,29.5,332.82,272.44,0.0
PARSING,1,3201,151,151,5792622,1809628.9,1.84,57350,3201012,1.792,303.32,301.4,29.5,332.82,272.44,0.0
PARSING,1,3202,151,151,5793687,1809396.3,1.86,56225,3201318,1.756,303.32,301.4,29.5,332.82,272.44,0.0
PARSING,1,3201,151,151,5790195,1808870.7,1.89,57436,3201239,1.794,303.32,301.4,29.5,332.82,272.44,0.0
PARSING,1,3201,151,151,5791437,1809258.7,1.87,56347,3200873,1.76,303.32,301.4,29.5,332.82,272.44,0.0
