state,mode,elapsed_ms,frame_count,n_sent,loop_spins,spin_rate_hz,cpu_load_pct_proxy,loop_task_busy_us,elapsed_us,cpu_load_pct_real,free_heap_kb,min_free_heap_kb,used_heap_kb,heap_size_kb,sketch_size_kb,free_sketch_space_kb
IDLE,0,3201,151,151,13640162,4261219.0,1.9,57450,3200674,1.795,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3201,151,151,13643243,4262181.5,1.87,56693,3200909,1.771,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3201,151,151,13640692,4261384.6,1.89,57336,3200889,1.791,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3201,151,151,13647342,4263462.0,1.84,58291,3200831,1.821,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3201,151,151,13642876,4262066.9,1.88,56426,3200447,1.763,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3201,151,151,13648096,4263697.6,1.84,58625,3200974,1.831,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3200,151,151,13646060,4264393.8,1.82,56969,3200432,1.78,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3201,151,151,13639370,4260971.6,1.9,57361,3200771,1.792,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3201,151,151,13649039,4263992.2,1.83,57805,3201047,1.806,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3200,151,151,13647058,4264705.6,1.81,58568,3200747,1.83,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3201,151,151,13639877,4261130.0,1.9,57381,3201036,1.793,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3201,151,151,13649140,4264023.7,1.83,57677,3201073,1.802,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3201,151,151,13648452,4263808.8,1.84,58649,3200938,1.832,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3201,151,151,13643784,4262350.5,1.87,56555,3200973,1.767,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3201,151,151,13648401,4263792.9,1.84,57141,3200902,1.785,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3201,151,151,13646914,4263328.3,1.85,58041,3200994,1.813,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3201,151,151,13640065,4261188.7,1.9,57402,3201028,1.793,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3200,151,151,13646761,4264612.8,1.82,56905,3200548,1.778,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3201,151,151,13643499,4262261.5,1.87,56438,3200812,1.763,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3201,151,151,13645899,4263011.2,1.85,58025,3200825,1.813,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3201,151,151,13647154,4263403.3,1.84,57345,3200730,1.792,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3201,151,151,13638993,4260853.8,1.9,57509,3200960,1.797,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3201,151,151,13646679,4263254.9,1.85,58840,3200730,1.838,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3201,151,151,13647749,4263589.2,1.84,57703,3200887,1.803,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3201,151,151,13647014,4263359.6,1.85,58756,3201028,1.836,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3201,151,151,13643249,4262183.4,1.87,56731,3200965,1.772,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3201,151,151,13647268,4263438.9,1.84,58596,3200796,1.831,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3201,151,151,13637363,4260344.6,1.92,57714,3200674,1.803,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3201,151,151,13649113,4264015.3,1.83,56345,3201172,1.76,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3201,151,151,13636913,4260204.0,1.92,57527,3200480,1.797,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3201,151,151,13641555,4261654.2,1.89,56740,3200650,1.773,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3201,151,151,13647390,4263477.0,1.84,58843,3200924,1.838,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3201,151,151,13647609,4263545.5,1.84,56589,3200897,1.768,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3201,151,151,13644163,4262468.9,1.87,57490,3201042,1.796,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3201,151,151,13645141,4262774.4,1.86,56377,3200673,1.761,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3200,151,151,13646506,4264533.1,1.82,58611,3200648,1.831,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3200,151,151,13645513,4264222.8,1.83,56382,3200508,1.762,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3201,151,151,13647641,4263555.5,1.84,56638,3200831,1.769,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3201,151,151,13641584,4261663.2,1.89,57150,3200893,1.785,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3201,151,151,13642123,4261831.6,1.88,56930,3201003,1.779,307.57,307.38,25.52,333.09,266.06,0.0
