state,mode,elapsed_ms,frame_count,n_sent,loop_spins,spin_rate_hz,cpu_load_pct_proxy,loop_task_busy_us,elapsed_us,cpu_load_pct_real,free_heap_kb,min_free_heap_kb,used_heap_kb,heap_size_kb,sketch_size_kb,free_sketch_space_kb
IDLE,0,3200,151,151,5696794,1780248.1,2.58,80592,3200306,2.518,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5698687,1780283.3,2.58,81485,3201057,2.546,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5702301,1781412.4,2.51,76710,3201091,2.396,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3200,151,151,5699334,1781041.9,2.53,80706,3200817,2.521,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5700899,1780974.4,2.54,77757,3200982,2.429,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5695402,1779257.1,2.63,81529,3200640,2.547,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5702103,1781350.5,2.52,75363,3201035,2.354,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5696233,1779516.7,2.62,84234,3200820,2.632,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5702332,1781422.1,2.51,79462,3200964,2.482,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5701907,1781289.3,2.52,78741,3201001,2.46,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5698555,1780242.1,2.58,80159,3201008,2.504,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5701327,1781108.1,2.53,77413,3200952,2.418,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5696914,1779729.5,2.61,77452,3200913,2.42,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3200,151,151,5701981,1781869.1,2.49,79268,3200531,2.477,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3200,151,151,5702314,1781973.1,2.48,78317,3200910,2.447,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5697001,1779756.6,2.6,78912,3200946,2.465,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3202,151,151,5701402,1780575.3,2.56,78899,3201127,2.465,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5696303,1779538.6,2.62,80763,3200874,2.523,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5698244,1780145.0,2.58,80538,3200816,2.516,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5701811,1781259.3,2.52,76880,3200899,2.402,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5694846,1779083.4,2.64,80306,3200797,2.509,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3200,151,151,5700818,1781505.6,2.51,78769,3200617,2.461,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5699956,1780679.8,2.55,84183,3200940,2.63,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5695293,1779223.1,2.63,82363,3200758,2.573,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5694520,1778981.6,2.65,81038,3200739,2.532,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5700120,1780731.0,2.55,79513,3200800,2.484,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3200,151,151,5701637,1781761.6,2.49,80301,3200672,2.509,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5696412,1779572.6,2.61,77745,3200679,2.429,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5702259,1781399.3,2.51,78008,3201000,2.437,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5699225,1780451.4,2.57,79338,3200838,2.479,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5701585,1781188.7,2.53,79362,3201003,2.479,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5698665,1780276.5,2.58,81014,3201010,2.531,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3202,151,151,5702863,1781031.5,2.53,75623,3201202,2.362,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5695602,1779319.6,2.63,82698,3200851,2.584,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5695479,1779281.2,2.63,84192,3200933,2.63,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5696590,1779628.2,2.61,82003,3200748,2.562,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5695829,1779390.5,2.62,79926,3200792,2.497,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5701303,1781100.6,2.53,76122,3200916,2.378,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5701796,1781254.6,2.52,75468,3200844,2.358,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5695214,1779198.4,2.63,82687,3200850,2.583,303.53,301.61,29.5,333.03,271.83,0.0
