state,mode,elapsed_ms,frame_count,n_sent,loop_spins,spin_rate_hz,cpu_load_pct_proxy,loop_task_busy_us,elapsed_us,cpu_load_pct_real,free_heap_kb,min_free_heap_kb,used_heap_kb,heap_size_kb,sketch_size_kb,free_sketch_space_kb
IDLE,0,3200,151,151,5939614,1856129.4,0.81,26098,3200930,0.815,354.44,352.48,24.85,379.29,257.86,0.0
IDLE,0,3200,151,151,5939281,1856025.3,0.81,26144,3200769,0.817,354.44,352.48,24.85,379.29,257.86,0.0
IDLE,0,3201,151,151,5940340,1855776.3,0.83,25941,3201149,0.81,354.44,352.48,24.85,379.29,257.86,0.0
IDLE,0,3201,151,151,5939932,1855648.9,0.83,26392,3200947,0.825,354.44,352.48,24.85,379.29,257.86,0.0
IDLE,0,3201,151,151,5939985,1855665.4,0.83,26044,3200935,0.814,354.44,352.48,24.85,379.29,257.86,0.0
IDLE,0,3200,151,151,5939590,1856121.9,0.81,26138,3200961,0.817,354.44,352.48,24.85,379.29,257.86,0.0
IDLE,0,3201,151,151,5940147,1855716.0,0.83,26112,3201027,0.816,354.44,352.48,24.85,379.29,257.86,0.0
IDLE,0,3201,151,151,5939973,1855661.7,0.83,26093,3200913,0.815,354.44,352.48,24.85,379.29,257.86,0.0
IDLE,0,3201,151,151,5940052,1855686.3,0.83,25947,3200959,0.811,354.44,352.48,24.85,379.29,257.86,0.0
IDLE,0,3201,151,151,5940366,1855784.4,0.83,25920,3201148,0.81,354.44,352.48,24.85,379.29,257.86,0.0
IDLE,0,3201,151,151,5939854,1855624.5,0.83,26493,3200898,0.828,354.44,352.48,24.85,379.29,257.86,0.0
IDLE,0,3201,151,151,5939796,1855606.4,0.84,25988,3200813,0.812,354.44,352.48,24.85,379.29,257.86,0.0
IDLE,0,3201,151,151,5939620,1855551.4,0.84,26257,3201085,0.82,354.44,352.48,24.85,379.29,257.86,0.0
IDLE,0,3201,151,151,5940099,1855701.0,0.83,26285,3201014,0.821,354.44,352.48,24.85,379.29,257.86,0.0
IDLE,0,3201,151,151,5939675,1855568.6,0.84,26178,3201031,0.818,354.44,352.48,24.85,379.29,257.86,0.0
IDLE,0,3201,151,151,5939891,1855636.1,0.83,25948,3200931,0.811,354.44,352.48,24.85,379.29,257.86,0.0
IDLE,0,3201,151,151,5939972,1855661.4,0.83,26303,3200947,0.822,354.44,352.48,24.85,379.29,257.86,0.0
IDLE,0,3201,151,151,5939218,1855425.8,0.85,26330,3200950,0.823,354.44,352.48,24.85,379.29,257.86,0.0
IDLE,0,3201,151,151,5939594,1855543.3,0.84,26137,3200960,0.817,354.44,352.48,24.85,379.29,257.86,0.0
IDLE,0,3201,151,151,5939807,1855609.8,0.84,25924,3200833,0.81,354.44,352.48,24.85,379.29,257.86,0.0
PARSING,1,3200,151,151,5938958,1855924.4,0.82,26179,3200655,0.818,354.44,352.48,24.85,379.29,257.86,0.0
PARSING,1,3200,151,151,5939134,1855979.4,0.82,26160,3200719,0.817,354.44,352.48,24.85,379.29,257.86,0.0
PARSING,1,3201,151,151,5939610,1855548.3,0.84,26093,3200928,0.815,354.44,352.48,24.85,379.29,257.86,0.0
PARSING,1,3201,151,151,5939618,1855550.8,0.84,26234,3200863,0.82,354.44,352.48,24.85,379.29,257.86,0.0
PARSING,1,3201,151,151,5939511,1855517.3,0.84,26774,3200851,0.836,354.44,352.48,24.85,379.29,257.86,0.0
PARSING,1,3201,151,151,5940172,1855723.8,0.83,26231,3201185,0.819,354.44,352.48,24.85,379.29,257.86,0.0
PARSING,1,3200,151,151,5939141,1855981.6,0.82,26318,3200888,0.822,354.44,352.48,24.85,379.29,257.86,0.0
PARSING,1,3201,151,151,5940034,1855680.7,0.83,26676,3201150,0.833,354.44,352.48,24.85,379.29,257.86,0.0
PARSING,1,3201,151,151,5939367,1855472.4,0.84,26358,3201047,0.823,354.44,352.48,24.85,379.29,257.86,0.0
PARSING,1,3201,151,151,5939944,1855652.6,0.83,26830,3201112,0.838,354.44,352.48,24.85,379.29,257.86,0.0
PARSING,1,3201,151,151,5939817,1855612.9,0.84,26137,3201081,0.817,354.44,352.48,24.85,379.29,257.86,0.0
PARSING,1,3201,151,151,5939870,1855629.5,0.83,26066,3201036,0.814,354.44,352.48,24.85,379.29,257.86,0.0
PARSING,1,3201,151,151,5939999,1855669.8,0.83,26382,3201085,0.824,354.44,352.48,24.85,379.29,257.86,0.0
PARSING,1,3202,151,151,5939683,1854991.6,0.87,26228,3201101,0.819,354.44,352.48,24.85,379.29,257.86,0.0
PARSING,1,3201,151,151,5939986,1855665.7,0.83,26061,3201082,0.814,354.44,352.48,24.85,379.29,257.86,0.0
PARSING,1,3201,151,151,5939569,1855535.5,0.84,26089,3200875,0.815,354.44,352.48,24.85,379.29,257.86,0.0
PARSING,1,3201,151,151,5939523,1855521.1,0.84,26175,3200838,0.818,354.44,352.48,24.85,379.29,257.86,0.0
PARSING,1,3201,151,151,5939409,1855485.5,0.84,26721,3200814,0.835,354.44,352.48,24.85,379.29,257.86,0.0
PARSING,1,3201,151,151,5939715,1855581.1,0.84,26598,3200966,0.831,354.44,352.48,24.85,379.29,257.86,0.0
PARSING,1,3201,151,151,5939725,1855584.2,0.84,26669,3200966,0.833,354.44,352.48,24.85,379.29,257.86,0.0
