state,mode,elapsed_ms,frame_count,n_sent,loop_spins,spin_rate_hz,cpu_load_pct_proxy,loop_task_busy_us,elapsed_us,cpu_load_pct_real,free_heap_kb,min_free_heap_kb,used_heap_kb,heap_size_kb,sketch_size_kb,free_sketch_space_kb
IDLE,0,3201,151,151,5793032,1809757.0,1.82,58533,3201146,1.829,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5789605,1808686.3,1.88,56896,3201184,1.777,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5788723,1808410.8,1.89,57677,3201016,1.802,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3202,151,151,5793060,1809200.5,1.85,55855,3201162,1.745,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5791687,1809336.8,1.84,58016,3200473,1.813,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3200,151,151,5792027,1810008.4,1.81,58036,3200597,1.813,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5788680,1808397.4,1.9,57511,3200913,1.797,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3202,151,151,5793257,1809262.0,1.85,57190,3201147,1.787,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5792787,1809680.4,1.83,58418,3200996,1.825,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5789739,1808728.2,1.88,57269,3201159,1.789,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5792162,1809485.2,1.84,56163,3201098,1.754,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5792586,1809617.6,1.83,58504,3200897,1.828,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5791831,1809381.8,1.84,55992,3201016,1.749,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5789566,1808674.2,1.88,57302,3201076,1.79,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5793140,1809790.7,1.82,55741,3201078,1.741,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5791729,1809349.9,1.84,56994,3200626,1.781,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5788652,1808388.6,1.9,57589,3200923,1.799,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5788553,1808357.7,1.9,57623,3200901,1.8,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5792828,1809693.2,1.83,55768,3201082,1.742,303.53,301.61,29.5,333.03,271.83,0.0
IDLE,0,3201,151,151,5792489,1809587.3,1.83,58412,3200861,1.825,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5790669,1809018.7,1.86,56666,3200864,1.77,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5792784,1809679.5,1.83,58258,3201149,1.82,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5792355,1809545.5,1.83,58116,3200944,1.816,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5788696,1808402.4,1.9,57706,3201026,1.803,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3202,151,151,5791974,1808861.3,1.87,56301,3201087,1.759,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5791672,1809332.1,1.84,57844,3200693,1.807,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5789046,1808511.7,1.89,57558,3201028,1.798,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5790345,1808917.5,1.87,57220,3201046,1.788,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5792756,1809670.7,1.83,57553,3201033,1.798,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5792753,1809669.8,1.83,58607,3201140,1.831,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5792533,1809601.1,1.83,58609,3201012,1.831,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5788707,1808405.8,1.89,57676,3201103,1.802,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5789183,1808554.5,1.89,57584,3201273,1.799,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5789569,1808675.1,1.88,57324,3201083,1.791,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5792588,1809618.2,1.83,56988,3200951,1.78,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5788893,1808463.9,1.89,57451,3200914,1.795,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3202,151,151,5793055,1809198.9,1.85,58522,3201285,1.828,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5792669,1809643.5,1.83,58662,3201085,1.833,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5790145,1808855.0,1.87,56442,3201008,1.763,303.53,301.61,29.5,333.03,271.83,0.0
PARSING,1,3201,151,151,5789978,1808802.9,1.87,56475,3200984,1.764,303.53,301.61,29.5,333.03,271.83,0.0
