state,mode,elapsed_ms,frame_count,n_sent,loop_spins,spin_rate_hz,cpu_load_pct_proxy,loop_task_busy_us,elapsed_us,cpu_load_pct_real,free_heap_kb,min_free_heap_kb,used_heap_kb,heap_size_kb,sketch_size_kb,free_sketch_space_kb
IDLE,0,3200,151,151,13299177,4155992.8,2.56,83220,3200600,2.6,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3201,151,151,13301773,4155505.5,2.57,78733,3200617,2.46,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3200,151,151,13299783,4156182.2,2.55,76041,3200651,2.376,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3201,151,151,13307016,4157143.4,2.53,77779,3200402,2.43,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3200,151,151,13297501,4155469.1,2.57,80014,3200351,2.5,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3200,151,151,13302048,4156890.0,2.53,83432,3200365,2.607,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3200,151,151,13309528,4159227.5,2.48,74534,3200176,2.329,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3201,151,151,13305088,4156541.1,2.54,83028,3200524,2.594,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3200,151,151,13297329,4155415.3,2.57,82223,3199923,2.57,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3200,151,151,13296939,4155293.4,2.57,78437,3200191,2.451,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3200,151,151,13292254,4153829.4,2.61,80452,3200199,2.514,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3200,151,151,13295509,4154846.6,2.58,80369,3200444,2.511,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3201,151,151,13307706,4157359.0,2.52,75019,3200159,2.344,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3201,151,151,13301196,4155325.2,2.57,74656,3200228,2.333,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3200,151,151,13297166,4155364.4,2.57,85120,3200365,2.66,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3200,151,151,13306621,4158319.1,2.5,80589,3200350,2.518,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3201,151,151,13303963,4156189.6,2.55,79695,3200329,2.49,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3200,151,151,13301161,4156612.8,2.54,82467,3200423,2.577,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3200,151,151,13294842,4154638.1,2.59,82401,3200322,2.575,307.57,307.38,25.52,333.09,266.06,0.0
IDLE,0,3201,151,151,13301406,4155390.8,2.57,74558,3200458,2.33,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3200,151,151,13291876,4153711.2,2.61,83898,3200275,2.622,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3200,151,151,13296332,4155103.8,2.58,84012,3200378,2.625,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3200,151,151,13296699,4155218.4,2.57,79204,3199909,2.475,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3200,151,151,13309609,4159252.8,2.48,81847,3200342,2.557,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3200,151,151,13296100,4155031.2,2.58,82316,3200195,2.572,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3200,151,151,13291578,4153618.1,2.61,79928,3200309,2.498,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3200,151,151,13304613,4157691.6,2.52,77907,3200170,2.434,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3201,151,151,13300228,4155022.8,2.58,74716,3200381,2.335,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3200,151,151,13291831,4153697.2,2.61,80992,3200420,2.531,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3200,151,151,13290151,4153172.2,2.62,76341,3200093,2.386,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3200,151,151,13306867,4158395.9,2.5,80334,3200226,2.51,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3200,151,151,13297256,4155392.5,2.57,81782,3200322,2.555,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3200,151,151,13298802,4155875.6,2.56,76165,3200297,2.38,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3201,151,151,13305691,4156729.5,2.54,72965,3200349,2.28,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3200,151,151,13299708,4156158.8,2.55,76252,3199993,2.383,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3200,151,151,13297464,4155457.5,2.57,83285,3200350,2.602,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3200,151,151,13307297,4158530.3,2.5,78062,3200121,2.439,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3200,151,151,13303178,4157243.1,2.53,78819,3200371,2.463,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3201,151,151,13306578,4157006.6,2.53,76286,3200595,2.383,307.57,307.38,25.52,333.09,266.06,0.0
PARSING,1,3200,151,151,13295398,4154811.9,2.58,85455,3200348,2.67,307.57,307.38,25.52,333.09,266.06,0.0
