state,mode,elapsed_ms,frame_count,n_sent,loop_spins,spin_rate_hz,cpu_load_pct_proxy,loop_task_busy_us,elapsed_us,cpu_load_pct_real,free_heap_kb,min_free_heap_kb,used_heap_kb,heap_size_kb,sketch_size_kb,free_sketch_space_kb
IDLE,0,3201,151,151,9053992,2828488.6,0.61,18993,3200707,0.593,328.61,322.96,42.01,370.62,300.92,1280.0
IDLE,0,3201,151,151,9053585,2828361.4,0.61,19000,3200575,0.594,328.61,322.96,42.01,370.62,300.92,1280.0
IDLE,0,3201,151,151,9053844,2828442.4,0.61,19270,3200914,0.602,328.61,322.96,42.01,370.62,300.92,1280.0
IDLE,0,3201,151,151,9054341,2828597.6,0.6,19192,3200874,0.6,328.61,322.96,42.01,370.62,300.92,1280.0
IDLE,0,3202,151,151,9054970,2827910.7,0.63,19065,3201051,0.596,328.61,322.96,42.01,370.62,300.92,1280.0
IDLE,0,3201,151,151,9053978,2828484.2,0.61,19003,3200703,0.594,328.61,322.96,42.01,370.62,300.92,1280.0
IDLE,0,3200,151,151,9053884,2829338.8,0.58,18998,3200673,0.594,328.61,322.96,42.01,370.62,300.92,1280.0
IDLE,0,3201,151,151,9055059,2828821.9,0.59,18993,3201085,0.593,328.61,322.96,42.01,370.62,300.92,1280.0
IDLE,0,3201,151,151,9053907,2828462.0,0.61,19182,3200881,0.599,328.61,322.96,42.01,370.62,300.92,1280.0
IDLE,0,3202,151,151,9055129,2827960.3,0.62,19111,3201114,0.597,328.61,322.96,42.01,370.62,300.92,1280.0
IDLE,0,3201,151,151,9055026,2828811.6,0.59,18990,3201066,0.593,328.61,322.96,42.01,370.62,300.92,1280.0
IDLE,0,3201,151,151,9054213,2828557.6,0.6,19358,3200982,0.605,328.61,322.96,42.01,370.62,300.92,1280.0
IDLE,0,3201,151,151,9054587,2828674.5,0.6,19436,3201078,0.607,328.61,322.96,42.01,370.62,300.92,1280.0
IDLE,0,3200,151,151,9053584,2829245.0,0.58,19148,3200571,0.598,328.61,322.96,42.01,370.62,300.92,1280.0
IDLE,0,3200,151,151,9054027,2829383.4,0.57,19075,3200726,0.596,328.61,322.96,42.01,370.62,300.92,1280.0
IDLE,0,3201,151,151,9054342,2828597.9,0.6,19004,3200825,0.594,328.61,322.96,42.01,370.62,300.92,1280.0
IDLE,0,3201,151,151,9054615,2828683.2,0.6,19178,3201110,0.599,328.61,322.96,42.01,370.62,300.92,1280.0
IDLE,0,3201,151,151,9054396,2828614.8,0.6,19081,3200944,0.596,328.61,322.96,42.01,370.62,300.92,1280.0
IDLE,0,3201,151,151,9053406,2828305.5,0.61,19391,3200674,0.606,328.61,322.96,42.01,370.62,300.92,1280.0
IDLE,0,3201,151,151,9054826,2828749.1,0.6,19046,3200997,0.595,328.61,322.96,42.01,370.62,300.92,1280.0
PARSING,1,3200,151,151,9054256,2829455.0,0.57,19205,3200862,0.6,328.61,322.96,42.01,370.62,300.92,1280.0
PARSING,1,3201,151,151,9055471,2828950.6,0.59,19049,3201287,0.595,328.61,322.96,42.01,370.62,300.92,1280.0
PARSING,1,3201,151,151,9055169,2828856.3,0.59,19180,3201199,0.599,328.61,322.96,42.01,370.62,300.92,1280.0
PARSING,1,3200,151,151,9053372,2829178.8,0.58,19147,3200551,0.598,328.61,322.96,42.01,370.62,300.92,1280.0
PARSING,1,3201,151,151,9054091,2828519.5,0.6,19051,3200806,0.595,328.61,322.96,42.01,370.62,300.92,1280.0
PARSING,1,3201,151,151,9054120,2828528.6,0.6,19044,3200808,0.595,328.61,322.96,42.01,370.62,300.92,1280.0
PARSING,1,3201,151,151,9053875,2828452.0,0.61,19051,3200714,0.595,328.61,322.96,42.01,370.62,300.92,1280.0
PARSING,1,3201,151,151,9054783,2828735.7,0.6,19045,3201038,0.595,328.61,322.96,42.01,370.62,300.92,1280.0
PARSING,1,3201,151,151,9054929,2828781.3,0.6,19276,3201167,0.602,328.61,322.96,42.01,370.62,300.92,1280.0
PARSING,1,3201,151,151,9053375,2828295.8,0.61,19455,3200670,0.608,328.61,322.96,42.01,370.62,300.92,1280.0
PARSING,1,3201,151,151,9054373,2828607.6,0.6,19059,3200893,0.595,328.61,322.96,42.01,370.62,300.92,1280.0
PARSING,1,3201,151,151,9054517,2828652.6,0.6,19044,3200946,0.595,328.61,322.96,42.01,370.62,300.92,1280.0
PARSING,1,3201,151,151,9054506,2828649.2,0.6,19046,3200940,0.595,328.61,322.96,42.01,370.62,300.92,1280.0
PARSING,1,3201,151,151,9053499,2828334.6,0.61,19509,3200707,0.61,328.61,322.96,42.01,370.62,300.92,1280.0
PARSING,1,3201,151,151,9054136,2828533.6,0.6,19266,3200995,0.602,328.61,322.96,42.01,370.62,300.92,1280.0
PARSING,1,3201,151,151,9054808,2828743.5,0.6,19066,3201050,0.596,328.61,322.96,42.01,370.62,300.92,1280.0
PARSING,1,3201,151,151,9054277,2828577.6,0.6,19045,3200858,0.595,328.61,322.96,42.01,370.62,300.92,1280.0
PARSING,1,3201,151,151,9054207,2828555.8,0.6,19386,3200990,0.606,328.61,322.96,42.01,370.62,300.92,1280.0
PARSING,1,3201,151,151,9053524,2828342.4,0.61,19039,3200591,0.595,328.61,322.96,42.01,370.62,300.92,1280.0
PARSING,1,3201,151,151,9054786,2828736.6,0.6,19254,3201234,0.601,328.61,322.96,42.01,370.62,300.92,1280.0
