state,mode,elapsed_ms,n_sent_rules,ota_commit_count,cpu_load_pct_real,free_heap_kb,min_free_heap_kb,used_heap_kb,heap_size_kb,sketch_size_kb,free_sketch_space_kb
OTA,2,3201,31,31,1.457,303.32,301.4,29.5,332.82,272.44,0.0
OTA,2,3201,31,31,1.464,303.32,301.4,29.5,332.82,272.44,0.0
OTA,2,3202,31,31,1.492,303.32,301.4,29.5,332.82,272.44,0.0
OTA,2,3201,31,31,1.494,303.32,301.4,29.5,332.82,272.44,0.0
OTA,2,3201,31,31,1.495,303.32,301.4,29.5,332.82,272.44,0.0
OTA,2,3201,31,31,1.487,303.32,301.4,29.5,332.82,272.44,0.0
OTA,2,3201,31,31,1.493,303.32,301.4,29.5,332.82,272.44,0.0
OTA,2,3201,31,31,1.492,303.32,301.4,29.5,332.82,272.44,0.0
OTA,2,3201,31,31,1.496,303.32,301.4,29.5,332.82,272.44,0.0
OTA,2,3202,31,31,1.5,303.32,301.4,29.5,332.82,272.44,0.0
OTA,2,3201,31,31,1.482,303.32,301.4,29.5,332.82,272.44,0.0
OTA,2,3202,31,31,1.49,303.32,301.4,29.5,332.82,272.44,0.0
OTA,2,3201,31,31,1.471,303.32,301.4,29.5,332.82,272.44,0.0
OTA,2,3201,31,31,1.498,303.32,301.4,29.5,332.82,272.44,0.0
OTA,2,3201,31,31,1.495,303.32,301.4,29.5,332.82,272.44,0.0
OTA,2,3201,31,31,1.479,303.32,301.4,29.5,332.82,272.44,0.0
OTA,2,3201,31,31,1.493,303.32,301.4,29.5,332.82,272.44,0.0
OTA,2,3201,31,31,1.49,303.32,301.4,29.5,332.82,272.44,0.0
OTA,2,3201,31,31,1.487,303.32,301.4,29.5,332.82,272.44,0.0
OTA,2,3201,31,31,1.488,303.32,301.4,29.5,332.82,272.44,0.0
