buffer_size,buffer_size_confirmed,frequency_hz,theoretical_ms,factor,wait_ms_target,n_sent,total_arrived,dropped,loss
4,4,100,40.0,0.3,12,18,18,0,False
4,4,100,40.0,0.6,24,19,19,0,False
4,4,100,40.0,1.0,40,20,20,0,False
4,4,100,40.0,1.5,60,22,22,2,True
4,4,100,40.0,2.5,100,26,26,6,True
4,4,100,40.0,4.0,160,32,32,12,True
4,4,500,8.0,0.3,2,77,77,0,False
4,4,500,8.0,0.6,5,79,79,0,False
4,4,500,8.0,1.0,8,80,80,0,False
4,4,500,8.0,1.5,12,82,82,1,True
4,4,500,8.0,2.5,20,86,86,5,True
4,4,500,8.0,4.0,32,92,92,11,True
4,4,1000,4.0,0.3,1,152,152,0,False
4,4,1000,4.0,0.6,2,153,153,0,False
4,4,1000,4.0,1.0,4,155,155,0,False
4,4,1000,4.0,1.5,6,157,157,0,False
4,4,1000,4.0,2.5,10,161,161,4,True
4,4,1000,4.0,4.0,16,167,167,10,True
8,8,100,80.0,0.3,24,19,19,0,False
8,8,100,80.0,0.6,48,21,21,0,False
8,8,100,80.0,1.0,80,24,24,0,False
8,8,100,80.0,1.5,120,28,28,4,True
8,8,100,80.0,2.5,200,36,36,12,True
8,8,100,80.0,4.0,320,48,48,24,True
8,8,500,16.0,0.3,5,79,79,0,False
8,8,500,16.0,0.6,10,81,81,0,False
8,8,500,16.0,1.0,16,84,84,0,False
8,8,500,16.0,1.5,24,88,88,3,True
8,8,500,16.0,2.5,40,96,96,11,True
8,8,500,16.0,4.0,64,108,108,23,True
8,8,1000,8.0,0.3,2,153,153,0,False
8,8,1000,8.0,0.6,5,156,156,0,False
8,8,1000,8.0,1.0,8,159,159,0,False
8,8,1000,8.0,1.5,12,163,163,2,True
8,8,1000,8.0,2.5,20,171,171,10,True
8,8,1000,8.0,4.0,32,183,183,22,True
16,16,100,160.0,0.3,48,21,21,0,False
16,16,100,160.0,0.6,96,26,26,0,False
16,16,100,160.0,1.0,160,32,32,0,False
16,16,100,160.0,1.5,240,40,40,8,True
16,16,100,160.0,2.5,400,56,56,24,True
16,16,100,160.0,4.0,640,80,80,48,True
16,16,500,32.0,0.3,10,81,81,0,False
16,16,500,32.0,0.6,19,86,86,0,False
16,16,500,32.0,1.0,32,92,92,0,False
16,16,500,32.0,1.5,48,100,100,7,True
16,16,500,32.0,2.5,80,116,116,23,True
16,16,500,32.0,4.0,128,140,140,47,True
16,16,1000,16.0,0.3,5,156,156,0,False
16,16,1000,16.0,0.6,10,161,161,0,False
16,16,1000,16.0,1.0,16,167,167,0,False
16,16,1000,16.0,1.5,24,175,175,6,True
16,16,1000,16.0,2.5,40,191,191,21,True
16,16,1000,16.0,4.0,64,215,215,46,True
32,32,100,320.0,0.3,96,26,26,0,False
32,32,100,320.0,0.6,192,36,36,0,False
32,32,100,320.0,1.0,320,48,48,0,False
32,32,100,320.0,1.5,480,64,64,16,True
32,32,100,320.0,2.5,800,96,96,48,True
32,32,100,320.0,4.0,1280,144,144,96,True
32,32,500,64.0,0.3,19,86,86,0,False
32,32,500,64.0,0.6,38,95,95,0,False
32,32,500,64.0,1.0,64,108,108,0,False
32,32,500,64.0,1.5,96,124,124,15,True
32,32,500,64.0,2.5,160,156,156,47,True
32,32,500,64.0,4.0,256,204,204,95,True
32,32,1000,32.0,0.3,10,161,161,0,False
32,32,1000,32.0,0.6,19,170,170,0,False
32,32,1000,32.0,1.0,32,183,183,0,False
32,32,1000,32.0,1.5,48,199,199,13,True
32,32,1000,32.0,2.5,80,231,231,46,True
32,32,1000,32.0,4.0,128,279,279,94,True
64,64,100,640.0,0.3,192,36,36,0,False
64,64,100,640.0,0.6,384,55,55,0,False
64,64,100,640.0,1.0,640,80,80,0,False
64,64,100,640.0,1.5,960,112,112,32,True
64,64,100,640.0,2.5,1600,176,176,96,True
64,64,100,640.0,4.0,2560,272,272,192,True
64,64,500,128.0,0.3,38,95,95,0,False
64,64,500,128.0,0.6,77,115,115,0,False
64,64,500,128.0,1.0,128,140,140,0,False
64,64,500,128.0,1.5,192,172,172,31,True
64,64,500,128.0,2.5,320,236,236,95,True
64,64,500,128.0,4.0,512,332,332,191,True
64,64,1000,64.0,0.3,19,170,170,0,False
64,64,1000,64.0,0.6,38,189,189,0,False
64,64,1000,64.0,1.0,64,215,215,0,False
64,64,1000,64.0,1.5,96,247,247,30,True
64,64,1000,64.0,2.5,160,311,311,94,True
64,64,1000,64.0,4.0,256,407,407,190,True
