czas_s,ramek_lacznie,pozycji_sledzonych,flag_wykrytych
120.2,7149,160,10
240.2,63549,160,13
360.2,120192,160,12
480.2,176854,160,12
600.2,233504,160,13
720.2,288023,160,13
840.2,344808,160,12
960.2,401259,160,14
1080.2,455924,160,13
1200.2,512568,160,13
1320.2,566903,160,15
1440.2,623387,160,13
1560.2,679924,160,12
1680.2,734301,160,12
1800.2,790766,160,12
1920.2,846680,160,12
2040.2,901821,160,12
2160.2,958303,160,12
2280.2,1012505,160,12
2400.2,1069023,160,12
2520.2,1125782,160,12
2640.2,1180097,160,12
2760.2,1236755,160,12
2880.2,1290997,160,12
3000.3,1347436,160,12
3120.3,1403895,160,12
3240.3,1458189,160,12
3360.3,1514741,160,12
3480.3,1569193,160,12
3600.3,1625649,160,12
